alpha,feature,positive_probability,degenerate_rate,gain,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,discovery_selectivity,predicted_collateral,predicted_residual_collateral
1.0,576,0.7435093867049242,0.0,-0.020029932076189083,0.17293103,0.39879593,1.0,0.88994306,0.8915911,0.0107421875,0.053529155,4.9830775,0.5474185,9.5322895,143.90967,0.05938481,0.39730582,7.280396,105.77273,70.17695,1.0976391,12.151201,0.00034445588,0.68765205,4.123493120574175,-0.5102707319115113
1.0,709,0.5978760454891017,0.0,-0.16566327329201158,0.14524578,0.19185568,1.0,0.9277127,0.82513,0.00390625,0.016321495,4.178303,0.26953512,6.8584614,343.87076,0.02555946,0.26871264,6.217181,81.75,57.942085,0.66211194,12.157698,0.00027118775,0.46196508,3.718437334790884,-0.1277381269097927
1.0,1288,0.8262960021772111,0.0,0.06275668339609786,0.14056888,0.1925661,1.0,0.89772195,0.8564107,0.009277344,0.04397461,4.74,0.47247127,8.292273,142.5427,0.052653816,0.3812689,6.924954,86.31579,59.707436,0.6750901,12.171335,0.00024173627,0.61303616,3.9279955965294384,-0.0320377436072759
1.0,1360,0.832213231153825,0.0,0.0686739123727117,0.143153,0.21743768,0.99999994,0.8254647,0.88667357,0.0068359375,0.026576791,3.8878047,0.32328343,5.214568,153.00594,0.04089351,0.34500068,6.7974358,87.21429,60.877792,0.97442603,12.160704,0.00034273294,0.7191546,2.973875730424135,-0.7943206196666326
1.0,1512,0.8237710925847447,0.0,0.06023177380363143,0.1990914,0.34543267,1.0,0.87967443,0.8453813,0.0068359375,0.027565992,4.0325108,0.3367876,5.318591,157.33278,0.04089351,0.34439695,7.0820613,116.85714,57.628708,0.72732794,12.157799,0.0002801842,1.0466005,4.539356359498056,0.4069050330418198
1.0,1540,0.5832261908750903,0.0,-0.18031312790602294,0.14473455,0.22688243,0.99999994,0.8671022,0.89244384,0.012207031,0.06684452,5.4759035,0.68059707,15.432492,206.54933,0.06591326,0.40702915,7.362281,109.48,56.52584,0.8565755,12.156488,0.00031319188,0.6258618,3.738697198138716,-0.4924383740572837
1.0,1721,0.680527548310541,0.0,-0.08301177047057229,0.22400618,0.33634472,1.0000001,1.0027289,0.7749897,0.008300781,0.053837933,6.4858875,0.6658873,14.237941,241.0336,0.048038643,0.35452121,7.019682,107.17647,71.28134,0.98166436,12.160571,0.00026498892,0.4524927,6.143864503375196,1.0464259234760052
1.0,2795,0.7418273036649529,0.0,-0.021712015116160388,0.17305528,0.26347455,1.0,0.97255653,0.8274913,0.0034179688,0.022352573,6.539724,0.41701713,12.659129,539.00745,0.02282177,0.24359556,6.090557,76.57143,57.00346,1.4314474,12.149691,0.0005263034,0.5767028,2.7703375591198065,-0.9495671824632052
1.0,3361,0.8240896504527578,0.0,0.060550331671644586,0.16748135,0.62897265,1.0,0.8305121,0.90013194,0.0068359375,0.026593607,3.8902647,0.32360348,4.9767265,152.64531,0.04089351,0.3449306,6.820259,92.07143,64.21791,0.6982365,12.168707,0.00023723453,0.473365,3.264896718881781,-0.4757319418206489
1.0,3796,0.7497398942117192,0.0,-0.013799424569394092,0.16175736,0.20599735,1.0,0.8927085,0.8275912,0.014160156,0.07050894,4.97939,0.6325454,11.580106,130.48972,0.074343786,0.43315023,7.229888,88.06896,54.41941,0.8882103,12.159267,0.0002731483,0.5503604,4.969203614273432,0.293843354527437
1.0,3887,0.6660159102029866,0.0,-0.09752340857812669,0.13127963,0.18853855,1.0,0.89573544,0.8806647,0.0048828125,0.020218758,4.1408014,0.29485074,5.7628593,235.91362,0.030857366,0.29925653,6.718522,104.7,57.93914,0.72451854,12.162458,0.00026033225,0.53885996,2.9202547774911247,-0.9354071331273416
1.0,4082,0.7505340814095689,0.0,-0.013005237371544354,0.20089407,0.326488,1.0000001,0.92302895,0.8196629,0.0087890625,0.0465133,5.29218,0.53323287,10.38154,192.57877,0.05035992,0.3692787,6.859332,82.833336,61.753387,0.9932985,12.154535,0.00033274142,0.68825835,5.0648003853335,0.5759208665638422
1.0,4152,0.7490495402841285,0.0,-0.01448977849698474,0.1361579,0.17810982,1.0,0.92999357,0.82685244,0.0029296875,0.013182925,4.4997716,0.26291162,8.482052,630.81396,0.020013848,0.22557698,6.0741987,83.333336,63.790344,0.942409,12.158383,0.00030767656,0.6849371,3.1774538580688705,-0.8146174582544538
1.0,4267,0.6659577258639425,0.0,-0.09758159291717072,0.22980976,0.31053364,1.0,1.1242307,0.7752855,0.0029296875,0.019801365,6.758866,0.45939493,17.615416,1104.8859,0.020013848,0.20363267,6.2687554,103.166664,90.87547,1.3850455,12.159679,0.00035456487,0.91047716,4.664294003256436,-0.4732885742156048
1.0,4313,0.6583953270213291,0.0,-0.10514399175978417,0.23371787,0.45799577,1.0,1.1265563,0.9109434,0.0068359375,0.035274994,5.160228,0.45115128,8.521376,214.03651,0.04089351,0.33832312,7.0084906,113.21429,87.167816,1.0812492,12.160185,0.00025638315,0.5575772,3.806731067508953,-1.565950279777116
1.0,4800,0.6518436513239673,0.0,-0.11169566745714599,0.17667525,0.24439159,1.0,0.92141795,0.8160146,0.0048828125,0.026536556,5.4346867,0.40499282,9.642231,318.46213,0.030857366,0.2932195,6.576316,95.1,64.49485,0.79679537,12.160206,0.00026801162,1.6706421,4.300827189985897,0.0915899787654636
1.0,5062,0.7490472893259721,0.0,-0.014492029455141164,0.16868474,0.3851157,1.0,0.90003,0.823537,0.010253906,0.042055644,4.1014266,0.43134186,7.5424924,136.50237,0.057165034,0.39409062,7.0962048,94.90476,71.287834,0.9581585,12.1657505,0.00027416702,0.73343045,4.972384917157955,0.4315328490637932
1.0,5171,0.6664024720084853,0.0,-0.0971368467726279,0.14098918,0.17409626,1.0,0.8993292,0.87439585,0.008300781,0.033632778,4.0517607,0.38265082,8.067898,178.90053,0.048038643,0.36705443,6.9692273,91.23529,56.30405,0.8053255,12.157722,0.0003274743,0.6362468,3.4320801847119777,-0.4129654533931496
1.0,5459,0.6810150391199082,0.0,-0.08252427966120501,0.24328533,0.3380648,0.99999994,1.0462171,0.88024133,0.0146484375,0.08893469,6.0712748,0.7621502,11.19266,89.94073,0.07640715,0.44041684,7.3878126,118.73333,78.12937,0.9827929,12.151245,0.0002884594,0.41554794,5.845293440960568,0.1511957646088401
1.0,5669,0.7635162342194235,0.0,-2.308456168975681e-05,0.13700777,0.27893618,1.0,0.9004437,0.91697264,0.033203125,0.17356181,5.2272735,1.0286674,13.777017,58.58207,0.14570603,0.5423073,7.756334,93.55882,55.814682,0.73223704,12.1592,0.00028751497,0.5539947,4.289227965593691,-1.1189244190642085
1.0,5941,0.6661231958957311,0.0,-0.09741612288538215,0.23363285,0.3552928,1.0,0.9169974,0.8220775,0.008300781,0.03274123,3.9443552,0.36225417,5.4063807,128.45201,0.048038643,0.37008375,6.8845506,84.94118,68.959755,0.93966734,12.154215,0.00029342299,0.78532624,5.294430584292195,0.5643839005158133
1.0,6354,0.5869172013529654,0.0,-0.17662211742814782,0.30438384,0.44293743,1.0,1.1705025,0.6748709,0.0068359375,0.05953914,8.709725,0.79293495,18.596268,272.95563,0.04089351,0.33248094,6.7052994,94.07143,93.81719,1.2617396,12.171444,0.00028771267,0.99777704,7.588451299034263,1.8595590130256592
1.0,6492,0.8244672367776124,0.0,0.060927917996499104,0.1590513,0.21068203,1.0,0.8872462,0.8482884,0.0126953125,0.062373795,4.913136,0.58128065,9.472071,121.79386,0.068048745,0.42066967,7.250024,92.96154,56.36669,0.7042453,12.162653,0.00026465685,1.2149945,4.576643132135052,0.3060794062616893
1.0,7052,0.7410426530162416,0.0,-0.022496665764871637,0.17479216,0.24479342,0.9999999,1.0173935,0.8301219,0.0024414062,0.013959205,5.7176905,0.29044992,7.91724,496.55038,0.017123925,0.20721364,5.6545835,68.6,59.547604,0.79322577,12.158213,0.00030240475,0.46628976,2.903306092295439,-1.0339951159919754
1.0,8000,0.666524175244073,0.0,-0.09701514353704022,0.20172434,0.38794482,1.0,0.86926097,0.8948834,0.014160156,0.066375524,4.687485,0.5832261,8.726132,103.231674,0.074343786,0.43531692,7.3444686,91.24138,57.824417,0.6028525,12.158259,0.0002486079,1.9315612,4.4306383605355375,0.0497993750306992
1.0,8291,0.8324867421664143,0.0,0.06894742338530102,0.16779856,0.4250415,0.99999994,0.9337852,0.82572675,0.0073242188,0.031909727,4.3567414,0.3880498,8.509018,204.55078,0.043307357,0.35008913,6.7861376,89.2,60.87343,0.8362875,12.15971,0.0002542397,0.71309996,4.249294043829499,-0.056935962905157
1.0,8375,0.754213090762884,0.0,-0.009326228018229243,0.17162597,0.9088949,1.0,0.9689119,0.9251461,0.053710938,0.2777017,5.170301,1.2441947,16.394089,32.255955,0.20930019,0.60925823,8.069377,88.13636,61.215237,0.962188,12.156603,0.00031418892,0.5173996,3.5341546632599465,-3.2207406958891576
1.0,8806,0.6589222792390501,0.0,-0.10461703954206314,0.123686306,0.97826755,1.0,1.0256468,0.92699534,0.4243164,3.8591778,9.095047,5.6910987,33.46079,3.3744292,0.68164706,0.86799085,8.501105,86.78941,46.581814,1.1790171,12.1565275,0.00037181942,0.6736621,-42.363708823738165,-66.6988808107346
1.0,9102,0.7500345766311511,0.0,-0.013504742149962112,0.14293988,0.19603828,1.0,0.8421292,0.87172323,0.0053710938,0.021341193,3.9733422,0.29822055,5.9799376,227.3339,0.03342987,0.3112045,6.660515,94.27273,56.31395,0.690752,12.157689,0.0002735323,0.8103672,3.380037450447313,-0.4050697139856636
1.0,9127,0.7303202668214605,0.0,-0.0332190519596528,0.32359344,0.4286873,0.99999994,1.5085614,0.64394003,0.0024414062,0.02905344,11.90029,0.66007465,18.666382,647.0048,0.017123925,0.19190651,5.7953863,86.0,90.001015,1.0054489,12.156788,0.0002538681,0.50391024,6.720165150848441,0.6167019565287475
1.0,9482,0.8954094769433141,0.0,0.13187015816220082,0.20552252,0.82505864,1.0,1.0582501,0.9215816,0.011230469,0.050759867,4.519835,0.50100136,9.001838,132.78053,0.061582144,0.405085,7.2704353,113.08696,85.9355,1.0492665,12.158754,0.00027055157,0.48963913,4.212002283767647,-0.9591254194519302
1.0,9780,0.8253288736498993,0.0,0.06178955486878601,0.14709885,0.18829197,0.99999994,0.9528738,0.82987124,0.0029296875,0.018148866,6.194813,0.3472259,9.071241,432.89682,0.020013848,0.23008998,6.0227914,89.5,57.5266,0.68502736,12.161617,0.00024197027,0.8654941,3.3253805080674,-0.6602474334152623
1.0,10324,0.6392058502193928,0.0,-0.12433346856172045,0.23798075,0.44134086,1.0,1.0917475,0.8855872,0.029785156,0.20088565,6.7444887,1.2504739,17.25442,62.448624,0.13399455,0.5285755,7.735237,121.2459,83.72253,1.0394354,12.155222,0.00028040895,0.4148541,6.602249445456366,-0.1899781945602765
1.0,10607,0.7501508480878935,0.0,-0.0133884706932198,0.28208137,0.5468724,1.0,0.92247206,0.8420777,0.0053710938,0.020297144,3.778959,0.27730572,4.350319,186.94016,0.03342987,0.31401265,6.758121,104.63636,78.92094,1.3232392,12.16098,0.0003193877,1.1803277,4.902110527328421,-0.1863721807337268
1.0,10692,0.7415418305366378,0.0,-0.02199748824447545,0.16477425,0.25504035,1.0,0.9155046,0.8514812,0.005859375,0.032602016,5.5640774,0.4570386,9.297041,269.26462,0.03595768,0.3160805,6.613921,83.25,67.45025,0.9011329,12.157263,0.0002863098,0.5326837,3.74160222215147,-0.5351817167981275
1.0,12376,0.6673838114220416,0.0,-0.09615550735907163,0.25630927,0.8010056,0.9999999,0.99009603,0.83568597,0.08691406,0.520903,5.993311,1.8714128,17.909636,20.618534,0.29533935,0.6677366,8.227389,100.32022,106.9452,1.1565902,12.197149,0.0002417822,0.6253685,4.5443832379021805,-4.920395321787529
1.0,12383,0.7422548200847814,0.0,-0.021284498696331866,0.15229666,0.28256965,1.0,0.81629133,0.8865929,0.005859375,0.022177301,3.7849262,0.2924747,4.98504,184.6091,0.03595768,0.32437807,6.716266,99.583336,56.441998,0.7648936,12.16438,0.00029661442,1.0725962,3.332161638603537,-0.3012184467940608
1.0,12388,0.6660637578655345,0.0,-0.09747556091557874,0.16773908,0.22927585,1.0000001,0.84583557,0.8882277,0.010253906,0.04130352,4.0280766,0.4175992,7.7963285,129.07434,0.057165034,0.39606282,7.2244678,98.85714,80.03211,0.8909062,12.183959,0.0002553713,0.5387075,4.219888834534146,-0.0120407232399011
