feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,discovery_selectivity,predicted_collateral,predicted_residual_collateral
23510,0.33894044,0.4345454,1.0000558,1.5958351,0.37000847,0.0024414062,0.0021198834,0.86830425,0.057686783,2.1817784,1115.1406,0.017123925,0.15590033,5.818705,73.0,39.818794,0.981241,10.530956,0.0011981651,1.8289726,11.848937802195081,0.45726877842784164
8097,0.46278962,0.6622032,1.0000275,1.1314999,0.4730124,0.017089844,0.019629128,1.1485844,0.19780138,4.5430408,215.08574,0.086486176,0.41737166,7.329465,73.942856,36.4808,1.0020587,10.532896,0.0012781261,1.243218,14.54786853673585,2.182946595225728
20873,0.27030882,0.31682852,1.0000414,0.9872755,0.5876079,0.0034179688,0.0029788886,0.8715377,0.062313206,2.1813838,813.1677,0.02282177,0.2242142,6.2010446,80.28571,34.73837,1.0269018,10.5248165,0.001286364,1.2300822,8.189364051375817,-2.1719912052353316
12354,0.54539824,0.627901,1.0000117,1.6341087,0.33938074,0.0053710938,0.00813084,1.5138146,0.12671474,3.0186691,351.8679,0.03342987,0.2932762,6.3417797,77.72727,25.12642,0.8550008,10.509678,0.0017201572,0.9484624,16.007530569561872,3.9207234857221334
906,0.3643414,0.4983944,1.0000341,1.3883637,0.39058352,0.0087890625,0.011638192,1.3241677,0.18360247,5.5398335,538.8558,0.05035992,0.31470206,6.641223,65.44444,42.4186,1.0378828,10.515504,0.0012634406,0.9038265,12.49496425003746,0.33554582879541117
17906,0.39139858,0.47239316,1.0000287,1.1242204,0.4957335,0.024414062,0.017953992,0.7353955,0.14963701,2.4590569,125.72948,0.11475313,0.4676936,7.4202347,65.5,38.08253,0.94187313,10.499256,0.0013065236,0.86540246,13.067084123352535,0.28883903728950866
21101,0.4795234,0.62054145,1.0000424,1.4046005,0.3817648,0.028808594,0.037076328,1.2869885,0.2842318,4.3006086,111.745445,0.13057601,0.49066192,7.549213,77.08475,30.303684,0.8430229,10.53167,0.0013592688,0.7966286,17.17498161583763,3.91850135676372
4637,0.30637237,0.4870594,1.0000345,1.0249588,0.5714221,0.0126953125,0.012135476,0.9559021,0.16941911,4.4728622,418.23102,0.068048745,0.35004848,7.088505,71.57692,50.157597,1.3880314,10.517115,0.0013965704,0.7939487,9.001721821539036,-3.234205841009973
12265,0.47514388,0.5277891,1.0000165,1.2447753,0.4502365,0.0068359375,0.008127599,1.1889516,0.15113904,4.914008,702.96814,0.04089351,0.2704501,6.625654,71.35714,37.659603,0.8647384,10.526722,0.0012472015,0.72705716,14.161661323377455,1.9204034172757918
24097,0.29272532,0.40022257,1.0000281,1.053908,0.54198205,0.0087890625,0.012212376,1.389497,0.19300772,5.231728,515.7752,0.05035992,0.31144118,7.0270467,82.611115,46.97848,1.2365247,10.515782,0.0013612256,0.68325335,8.429595980279165,-3.6583465721936466
20478,0.34180412,0.5113815,1.0000284,1.2979997,0.44832584,0.0034179688,0.010345664,3.0268457,0.22935596,6.6642313,696.351,0.02282177,0.20383601,5.82259,65.0,41.400547,1.1619791,10.523498,0.001214715,0.68003315,11.22086251299734,-0.0445424748742498
18325,0.37499067,0.42453086,1.0000229,1.0899465,0.48659354,0.020019531,0.01766349,0.8823129,0.1584985,2.8739405,144.81696,0.09811512,0.44700196,7.387402,69.243904,36.639194,0.8901227,10.521262,0.0011183484,0.5978527,13.105450252308309,0.713908866127078
23092,0.5999354,0.7380183,1.0000393,1.1123449,0.43216953,0.008300781,0.0049831513,0.6003232,0.06884088,1.3699219,264.41254,0.048038643,0.3280647,6.621022,64.47059,21.278934,0.44797647,10.540152,0.0010782033,0.5636447,18.50396910453145,7.274767977350901
19683,0.547851,0.6647855,1.0000364,0.9463599,0.39768356,0.033203125,0.021261087,0.6403339,0.17552778,2.9367764,164.2068,0.14570603,0.48325253,7.853115,79.338234,9.698792,0.19768946,10.534467,0.0010555747,0.54571277,19.333394807504714,6.795020129284379
