setting,target,control,predictor,rho,p,ci_lo,ci_hi,n,k_controls,controls,n_boot,n_boot_valid,p_holm,q_bh
gemma_2_2b,collateral_raw,none,crowding,0.5121418516406644,1.8455453091309713e-21,0.4108499086820373,0.6053286300477736,300,0,,10000,10000,3.3219815564357487e-20,1.7532680436744227e-20
gemma_2_2b,collateral_raw,none,crowd_max,0.39677286214637764,9.416430492501985e-13,0.2832962244301747,0.5013532085032477,300,0,,10000,10000,1.4124645738752977e-11,3.5782435871507544e-12
gemma_2_2b,collateral_raw,none,dec_norm,-0.006108616106819841,0.9160872835390703,-0.12049488538337992,0.1066705394800103,300,0,,10000,10000,1.0,0.9160872835390703
gemma_2_2b,collateral_raw,none,enc_norm,0.37210276545881765,2.762012802083106e-11,0.27525343566497446,0.4592867729491681,300,0,,10000,10000,3.0382140822914167e-10,5.83091591550878e-11
gemma_2_2b,collateral_raw,none,enc_dec_cos,-0.5557253285249141,1.033980762117192e-25,-0.6305821142433445,-0.4706203921701031,300,0,,10000,10000,1.9645634480226646e-24,1.9645634480226646e-24
gemma_2_2b,collateral_raw,none,frequency,0.3794187482893254,1.0443575647715252e-11,0.27325718089411166,0.4762451474197168,300,0,,10000,10000,1.4621005906801352e-10,2.8346848186655684e-11
gemma_2_2b,collateral_raw,none,bin_entropy,0.3794187482893254,1.0443575647715252e-11,0.27325718089411166,0.4762451474197168,300,0,,10000,10000,1.4621005906801352e-10,2.8346848186655684e-11
gemma_2_2b,collateral_raw,none,act_entropy,0.36580116325398604,6.260832350832531e-11,0.2578400732929528,0.46326515778703553,300,0,,10000,10000,6.26083235083253e-10,1.189558146658181e-10
gemma_2_2b,collateral_raw,none,act_kurtosis,-0.2983618413648964,1.389396862344819e-07,-0.39809995193009234,-0.1891519578302206,300,0,,10000,10000,1.1115174898758552e-06,2.199878365379297e-07
gemma_2_2b,collateral_raw,none,act_mag,0.4863251945615527,3.2396633323065985e-19,0.3905648613522453,0.5721720895328319,300,0,,10000,10000,5.1834613316905575e-18,1.5388400828456343e-18
