setting,target,control,predictor_set,cv_spearman_mean,cv_spearman_sd,oof_spearman,n_pred,n_defined_folds,controls
gemma_2_2b,collateral_raw,none,frequency_only,0.3806974429242647,0.10836240656097748,0.358429210157559,1,5,
gemma_2_2b,collateral_raw,none,actmag_only,0.4829398187535806,0.079028534083156,0.448679143866868,1,5,
gemma_2_2b,collateral_raw,none,geometry_only,0.5553332809663878,0.1154376218322449,0.5631891407948623,5,5,
gemma_2_2b,collateral_raw,none,direct_logit_only,0.28187711916176456,0.05668202439953482,0.2653128757036843,4,5,
gemma_2_2b,collateral_raw,none,coactivation_only,0.27683757181536456,0.11885385274305668,0.2742601463472421,2,5,
gemma_2_2b,collateral_raw,none,full_no_magnitude,0.7290324659102811,0.06469027198315029,0.7316047710567183,15,5,
gemma_2_2b,collateral_raw,none,full_all,0.7335418647042579,0.07852609139862318,0.741387410676435,19,5,
gemma_2_2b,collateral_raw,primary,frequency_only,,,,1,0,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_raw,primary,actmag_only,,,,1,0,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_raw,primary,geometry_only,0.4691191997777161,0.17278609590474286,0.4976566406293403,5,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_raw,primary,direct_logit_only,0.15234231731036402,0.12780303956452146,0.14728208091201012,4,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_raw,primary,coactivation_only,0.20429008057793835,0.09110810422004142,0.19411637907087853,2,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_raw,primary,full_no_magnitude,0.5936760211169769,0.11940027038469003,0.6112623473594151,15,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_raw,primary,full_all,0.5912308974715199,0.11300155035311203,0.6086285403171147,19,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_raw,robust,frequency_only,,,,1,0,"frequency,act_mag"
gemma_2_2b,collateral_raw,robust,actmag_only,,,,1,0,"frequency,act_mag"
gemma_2_2b,collateral_raw,robust,geometry_only,0.5236899138649627,0.1249990200613942,0.5401237791531017,5,5,"frequency,act_mag"
gemma_2_2b,collateral_raw,robust,direct_logit_only,0.2460238955265352,0.08150210291605552,0.23847998311092342,4,5,"frequency,act_mag"
gemma_2_2b,collateral_raw,robust,coactivation_only,0.10326201722700752,0.06705447808528747,0.11003455593951043,2,5,"frequency,act_mag"
gemma_2_2b,collateral_raw,robust,full_no_magnitude,0.6723534315087526,0.08285984120059497,0.6844840498227757,15,5,"frequency,act_mag"
gemma_2_2b,collateral_raw,robust,full_all,0.6741539316476801,0.09812557387374757,0.6921592462138467,19,5,"frequency,act_mag"
gemma_2_2b,collateral_raw,effect_only,frequency_only,0.4556679627917939,0.0990927785962709,0.4102644341325005,1,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,actmag_only,0.4680300083356489,0.05081658236298851,0.431699907776753,1,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,geometry_only,0.413926090580717,0.1841995520937773,0.4422120245780508,5,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,direct_logit_only,0.15776604612392334,0.101169294688441,0.14897721085789842,4,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,coactivation_only,0.3700472353431509,0.1417408845223767,0.35307992311025677,2,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,full_no_magnitude,0.6170936371214226,0.11700541490350685,0.6252438360426226,15,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,full_all,0.6081244790219505,0.10451061632151551,0.6137157079523106,19,5,effect_l2
gemma_2_2b,collateral_ctilde,none,frequency_only,0.47399449551370826,0.04073203797926878,0.4287505041016078,1,5,
gemma_2_2b,collateral_ctilde,none,actmag_only,0.41820505696026683,0.06577379977033015,0.36787742086023173,1,5,
gemma_2_2b,collateral_ctilde,none,geometry_only,0.3708474576271187,0.15584130109200553,0.36913165701841133,5,5,
gemma_2_2b,collateral_ctilde,none,direct_logit_only,0.21748263406501808,0.09584179072426319,0.19845020500227778,4,5,
gemma_2_2b,collateral_ctilde,none,coactivation_only,0.38227285357043633,0.06748581164097976,0.36979921999133325,2,5,
gemma_2_2b,collateral_ctilde,none,full_no_magnitude,0.5859516532370105,0.06710876313282273,0.5852069467438527,15,5,
gemma_2_2b,collateral_ctilde,none,full_all,0.5752153375937762,0.053503386262286054,0.5762988477649751,19,5,
gemma_2_2b,collateral_ctilde,primary,frequency_only,,,,1,0,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_ctilde,primary,actmag_only,,,,1,0,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_ctilde,primary,geometry_only,0.43882189497082535,0.1647240048737224,0.44409604551161674,5,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_ctilde,primary,direct_logit_only,0.10859683245345933,0.13574869081261304,0.08299381104234492,4,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_ctilde,primary,coactivation_only,0.163500972492359,0.14681997164402175,0.1476629740330448,2,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_ctilde,primary,full_no_magnitude,0.5934537371492082,0.10324463629687478,0.5978106423404704,15,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_ctilde,primary,full_all,0.5947540983606558,0.10934719546731761,0.6023933599262213,19,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_ctilde,robust,frequency_only,,,,1,0,"frequency,act_mag"
gemma_2_2b,collateral_ctilde,robust,actmag_only,,,,1,0,"frequency,act_mag"
gemma_2_2b,collateral_ctilde,robust,geometry_only,0.3865073631564324,0.17654336316762084,0.3911247902754475,5,5,"frequency,act_mag"
gemma_2_2b,collateral_ctilde,robust,direct_logit_only,0.17943873298138377,0.11292936211975692,0.1695272169690774,4,5,"frequency,act_mag"
gemma_2_2b,collateral_ctilde,robust,coactivation_only,0.17709363712142268,0.12879606405963845,0.16356181735352615,2,5,"frequency,act_mag"
gemma_2_2b,collateral_ctilde,robust,full_no_magnitude,0.4967046401778273,0.07024735575646172,0.5060496227735863,15,5,"frequency,act_mag"
gemma_2_2b,collateral_ctilde,robust,full_all,0.5069963878855239,0.05185323987486075,0.5132630362559584,19,5,"frequency,act_mag"
gemma_2_2b,collateral_ctilde,effect_only,frequency_only,0.5046116070205178,0.054664281772349235,0.47894882239741693,1,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,actmag_only,0.4958599611003057,0.04264713581503822,0.4873854153935043,1,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,geometry_only,0.41049180327868856,0.16106093110993563,0.42421582462027346,5,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,direct_logit_only,0.1129869408168936,0.09640620843293772,0.09688285425393615,4,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,coactivation_only,0.39578771881078084,0.10000356843089885,0.3846251625018055,2,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,full_no_magnitude,0.648257849402612,0.08258702444331327,0.6440853787264302,15,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,full_all,0.6403445401500418,0.08487330510568976,0.6437658196202181,19,5,effect_l2
gemma_2_2b,kl_mean,none,frequency_only,0.077191864310181,0.10868037771623378,0.04251849429635688,1,5,
gemma_2_2b,kl_mean,none,actmag_only,0.22790775215337597,0.11189378625615314,0.1923408037867087,1,5,
gemma_2_2b,kl_mean,none,geometry_only,0.45676021116976945,0.10988092917894585,0.4520899121101345,5,5,
gemma_2_2b,kl_mean,none,direct_logit_only,0.49942761878299535,0.06111419074569239,0.48471249680552003,4,5,
gemma_2_2b,kl_mean,none,coactivation_only,-0.023762156154487363,0.09894125458393369,-0.08456449516105734,2,5,
gemma_2_2b,kl_mean,none,full_no_magnitude,0.5625229230341763,0.10911429914161357,0.5369637440416004,15,5,
gemma_2_2b,kl_mean,none,full_all,0.5370158377327037,0.10341011529087145,0.5061109567884087,19,5,
gemma_2_2b,kl_mean,primary,frequency_only,,,,1,0,"effect_l2,act_mag,frequency"
gemma_2_2b,kl_mean,primary,actmag_only,,,,1,0,"effect_l2,act_mag,frequency"
gemma_2_2b,kl_mean,primary,geometry_only,0.10751875520978052,0.12621261081758467,0.10094778830875899,5,5,"effect_l2,act_mag,frequency"
gemma_2_2b,kl_mean,primary,direct_logit_only,0.12151153098082804,0.11023115862809015,0.11053900598895543,4,5,"effect_l2,act_mag,frequency"
gemma_2_2b,kl_mean,primary,coactivation_only,0.18071686579605448,0.05355681845549448,0.1764735163724041,2,5,"effect_l2,act_mag,frequency"
gemma_2_2b,kl_mean,primary,full_no_magnitude,0.23683245345929427,0.06679088964922332,0.22630029222546916,15,5,"effect_l2,act_mag,frequency"
