setting,target,control,0,1,2,mean,sd,n_seeds
gemma_2_2b,collateral_ctilde,none,0.069,0.099,0.087,0.085,0.015,3
gemma_2_2b,collateral_ctilde,primary,0.252,0.209,0.222,0.228,0.022,3
gemma_2_2b,collateral_ctilde,robust,0.052,0.086,0.128,0.088,0.038,3
gemma_2_2b,collateral_raw,none,0.512,0.531,0.462,0.502,0.036,3
gemma_2_2b,collateral_raw,primary,0.242,0.217,0.233,0.231,0.013,3
gemma_2_2b,collateral_raw,robust,0.468,0.468,0.439,0.458,0.017,3
gemma_2_2b_ctxA,collateral_ctilde,none,0.191,,,0.191,,1
gemma_2_2b_ctxA,collateral_ctilde,primary,0.241,,,0.241,,1
gemma_2_2b_ctxA,collateral_ctilde,robust,0.183,,,0.183,,1
gemma_2_2b_ctxA,collateral_raw,none,0.526,,,0.526,,1
gemma_2_2b_ctxA,collateral_raw,primary,0.226,,,0.226,,1
gemma_2_2b_ctxA,collateral_raw,robust,0.473,,,0.473,,1
gemma_2_2b_ctxB,collateral_ctilde,none,0.1,,,0.1,,1
gemma_2_2b_ctxB,collateral_ctilde,primary,0.277,,,0.277,,1
gemma_2_2b_ctxB,collateral_ctilde,robust,0.089,,,0.089,,1
gemma_2_2b_ctxB,collateral_raw,none,0.542,,,0.542,,1
gemma_2_2b_ctxB,collateral_raw,primary,0.3,,,0.3,,1
gemma_2_2b_ctxB,collateral_raw,robust,0.506,,,0.506,,1
gemma_2_2b_random,collateral_ctilde,none,-0.118,,,-0.118,,1
gemma_2_2b_random,collateral_ctilde,primary,-0.082,,,-0.082,,1
gemma_2_2b_random,collateral_ctilde,robust,-0.118,,,-0.118,,1
gemma_2_2b_random,collateral_raw,none,-0.12,,,-0.12,,1
gemma_2_2b_random,collateral_raw,primary,-0.13,,,-0.13,,1
gemma_2_2b_random,collateral_raw,robust,-0.12,,,-0.12,,1
gpt2_small,collateral_ctilde,none,0.344,0.313,0.289,0.315,0.028,3
gpt2_small,collateral_ctilde,primary,0.425,0.365,0.351,0.38,0.039,3
gpt2_small,collateral_ctilde,robust,0.355,0.306,0.289,0.316,0.034,3
gpt2_small,collateral_raw,none,0.482,0.45,0.458,0.463,0.016,3
gpt2_small,collateral_raw,primary,0.475,0.413,0.405,0.431,0.039,3
gpt2_small,collateral_raw,robust,0.517,0.472,0.482,0.491,0.024,3
gpt2_small_alpha0.5,collateral_ctilde,none,0.471,,,0.471,,1
gpt2_small_alpha0.5,collateral_ctilde,primary,0.493,,,0.493,,1
gpt2_small_alpha0.5,collateral_ctilde,robust,0.517,,,0.517,,1
gpt2_small_alpha0.5,collateral_raw,none,0.487,,,0.487,,1
gpt2_small_alpha0.5,collateral_raw,primary,0.493,,,0.493,,1
gpt2_small_alpha0.5,collateral_raw,robust,0.54,,,0.54,,1
gpt2_small_alpha2,collateral_ctilde,none,0.145,,,0.145,,1
gpt2_small_alpha2,collateral_ctilde,primary,0.364,,,0.364,,1
gpt2_small_alpha2,collateral_ctilde,robust,0.13,,,0.13,,1
gpt2_small_alpha2,collateral_raw,none,0.46,,,0.46,,1
gpt2_small_alpha2,collateral_raw,primary,0.457,,,0.457,,1
gpt2_small_alpha2,collateral_raw,robust,0.49,,,0.49,,1
gpt2_small_alpha4,collateral_ctilde,none,-0.015,,,-0.015,,1
gpt2_small_alpha4,collateral_ctilde,primary,0.323,,,0.323,,1
gpt2_small_alpha4,collateral_ctilde,robust,-0.031,,,-0.031,,1
gpt2_small_alpha4,collateral_raw,none,0.347,,,0.347,,1
gpt2_small_alpha4,collateral_raw,primary,0.382,,,0.382,,1
gpt2_small_alpha4,collateral_raw,robust,0.399,,,0.399,,1
gpt2_small_ctxA,collateral_ctilde,none,0.353,,,0.353,,1
gpt2_small_ctxA,collateral_ctilde,primary,0.413,,,0.413,,1
gpt2_small_ctxA,collateral_ctilde,robust,0.353,,,0.353,,1
gpt2_small_ctxA,collateral_raw,none,0.489,,,0.489,,1
gpt2_small_ctxA,collateral_raw,primary,0.461,,,0.461,,1
gpt2_small_ctxA,collateral_raw,robust,0.508,,,0.508,,1
gpt2_small_ctxB,collateral_ctilde,none,0.357,,,0.357,,1
gpt2_small_ctxB,collateral_ctilde,primary,0.429,,,0.429,,1
gpt2_small_ctxB,collateral_ctilde,robust,0.37,,,0.37,,1
gpt2_small_ctxB,collateral_raw,none,0.496,,,0.496,,1
gpt2_small_ctxB,collateral_raw,primary,0.478,,,0.478,,1
gpt2_small_ctxB,collateral_raw,robust,0.529,,,0.529,,1
gpt2_small_q95,collateral_ctilde,none,-0.234,,,-0.234,,1
gpt2_small_q95,collateral_ctilde,primary,0.266,,,0.266,,1
gpt2_small_q95,collateral_ctilde,robust,0.033,,,0.033,,1
gpt2_small_q95,collateral_raw,none,0.352,,,0.352,,1
gpt2_small_q95,collateral_raw,primary,0.264,,,0.264,,1
gpt2_small_q95,collateral_raw,robust,0.223,,,0.223,,1
gpt2_small_random,collateral_ctilde,none,0.016,,,0.016,,1
gpt2_small_random,collateral_ctilde,primary,0.02,,,0.02,,1
gpt2_small_random,collateral_ctilde,robust,0.016,,,0.016,,1
gpt2_small_random,collateral_raw,none,0.021,,,0.021,,1
gpt2_small_random,collateral_raw,primary,0.02,,,0.02,,1
gpt2_small_random,collateral_raw,robust,0.021,,,0.021,,1
llama_3_1_8b,collateral_ctilde,none,0.201,,,0.201,,1
llama_3_1_8b,collateral_ctilde,primary,0.166,,,0.166,,1
llama_3_1_8b,collateral_ctilde,robust,0.183,,,0.183,,1
llama_3_1_8b,collateral_raw,none,0.222,,,0.222,,1
llama_3_1_8b,collateral_raw,primary,0.152,,,0.152,,1
llama_3_1_8b,collateral_raw,robust,0.182,,,0.182,,1
llama_3_1_8b_ctxA,collateral_ctilde,none,0.222,,,0.222,,1
llama_3_1_8b_ctxA,collateral_ctilde,primary,0.182,,,0.182,,1
llama_3_1_8b_ctxA,collateral_ctilde,robust,0.204,,,0.204,,1
llama_3_1_8b_ctxA,collateral_raw,none,0.24,,,0.24,,1
llama_3_1_8b_ctxA,collateral_raw,primary,0.178,,,0.178,,1
llama_3_1_8b_ctxA,collateral_raw,robust,0.206,,,0.206,,1
llama_3_1_8b_ctxB,collateral_ctilde,none,0.163,,,0.163,,1
llama_3_1_8b_ctxB,collateral_ctilde,primary,0.12,,,0.12,,1
llama_3_1_8b_ctxB,collateral_ctilde,robust,0.157,,,0.157,,1
llama_3_1_8b_ctxB,collateral_raw,none,0.213,,,0.213,,1
llama_3_1_8b_ctxB,collateral_raw,primary,0.124,,,0.124,,1
llama_3_1_8b_ctxB,collateral_raw,robust,0.186,,,0.186,,1
llama_3_1_8b_random,collateral_ctilde,none,0.01,,,0.01,,1
llama_3_1_8b_random,collateral_ctilde,primary,0.004,,,0.004,,1
llama_3_1_8b_random,collateral_ctilde,robust,0.01,,,0.01,,1
llama_3_1_8b_random,collateral_raw,none,0.02,,,0.02,,1
llama_3_1_8b_random,collateral_raw,primary,0.015,,,0.015,,1
llama_3_1_8b_random,collateral_raw,robust,0.02,,,0.02,,1
pythia_70m_deduped,collateral_ctilde,none,0.031,0.045,-0.062,0.004,0.058,3
pythia_70m_deduped,collateral_ctilde,primary,0.001,0.002,-0.074,-0.023,0.044,3
pythia_70m_deduped,collateral_ctilde,robust,0.011,-0.018,-0.112,-0.04,0.065,3
pythia_70m_deduped,collateral_raw,none,-0.022,0.059,0.028,0.021,0.041,3
pythia_70m_deduped,collateral_raw,primary,-0.004,0.006,-0.081,-0.027,0.048,3
pythia_70m_deduped,collateral_raw,robust,-0.026,0.051,0.019,0.015,0.039,3
pythia_70m_deduped_alpha0.5,collateral_ctilde,none,0.146,,,0.146,,1
pythia_70m_deduped_alpha0.5,collateral_ctilde,primary,0.119,,,0.119,,1
pythia_70m_deduped_alpha0.5,collateral_ctilde,robust,0.106,,,0.106,,1
pythia_70m_deduped_alpha0.5,collateral_raw,none,0.102,,,0.102,,1
pythia_70m_deduped_alpha0.5,collateral_raw,primary,0.136,,,0.136,,1
pythia_70m_deduped_alpha0.5,collateral_raw,robust,0.077,,,0.077,,1
pythia_70m_deduped_alpha2,collateral_ctilde,none,0.056,,,0.056,,1
pythia_70m_deduped_alpha2,collateral_ctilde,primary,-0.008,,,-0.008,,1
pythia_70m_deduped_alpha2,collateral_ctilde,robust,0.029,,,0.029,,1
pythia_70m_deduped_alpha2,collateral_raw,none,-0.046,,,-0.046,,1
pythia_70m_deduped_alpha2,collateral_raw,primary,-0.048,,,-0.048,,1
pythia_70m_deduped_alpha2,collateral_raw,robust,-0.06,,,-0.06,,1
pythia_70m_deduped_alpha4,collateral_ctilde,none,0.048,,,0.048,,1
pythia_70m_deduped_alpha4,collateral_ctilde,primary,-0.055,,,-0.055,,1
pythia_70m_deduped_alpha4,collateral_ctilde,robust,0.008,,,0.008,,1
pythia_70m_deduped_alpha4,collateral_raw,none,-0.036,,,-0.036,,1
pythia_70m_deduped_alpha4,collateral_raw,primary,-0.076,,,-0.076,,1
pythia_70m_deduped_alpha4,collateral_raw,robust,-0.073,,,-0.073,,1
pythia_70m_deduped_ctxA,collateral_ctilde,none,-0.016,,,-0.016,,1
pythia_70m_deduped_ctxA,collateral_ctilde,primary,-0.027,,,-0.027,,1
pythia_70m_deduped_ctxA,collateral_ctilde,robust,-0.023,,,-0.023,,1
pythia_70m_deduped_ctxA,collateral_raw,none,-0.022,,,-0.022,,1
pythia_70m_deduped_ctxA,collateral_raw,primary,0.003,,,0.003,,1
pythia_70m_deduped_ctxA,collateral_raw,robust,-0.02,,,-0.02,,1
pythia_70m_deduped_ctxB,collateral_ctilde,none,-0.025,,,-0.025,,1
pythia_70m_deduped_ctxB,collateral_ctilde,primary,-0.03,,,-0.03,,1
pythia_70m_deduped_ctxB,collateral_ctilde,robust,-0.033,,,-0.033,,1
pythia_70m_deduped_ctxB,collateral_raw,none,-0.028,,,-0.028,,1
pythia_70m_deduped_ctxB,collateral_raw,primary,-0.05,,,-0.05,,1
pythia_70m_deduped_ctxB,collateral_raw,robust,-0.026,,,-0.026,,1
pythia_70m_deduped_q95,collateral_ctilde,none,0.198,,,0.198,,1
pythia_70m_deduped_q95,collateral_ctilde,primary,0.11,,,0.11,,1
pythia_70m_deduped_q95,collateral_ctilde,robust,0.016,,,0.016,,1
pythia_70m_deduped_q95,collateral_raw,none,0.214,,,0.214,,1
pythia_70m_deduped_q95,collateral_raw,primary,0.037,,,0.037,,1
pythia_70m_deduped_q95,collateral_raw,robust,-0.108,,,-0.108,,1
pythia_70m_deduped_random,collateral_ctilde,none,-0.024,,,-0.024,,1
pythia_70m_deduped_random,collateral_ctilde,primary,-0.021,,,-0.021,,1
pythia_70m_deduped_random,collateral_ctilde,robust,-0.024,,,-0.024,,1
pythia_70m_deduped_random,collateral_raw,none,-0.014,,,-0.014,,1
pythia_70m_deduped_random,collateral_raw,primary,-0.017,,,-0.017,,1
pythia_70m_deduped_random,collateral_raw,robust,-0.014,,,-0.014,,1
