setting,target,control,predictor_set,cv_spearman_mean,cv_spearman_sd,oof_spearman,n_pred,n_defined_folds,controls
gemma_2_2b,collateral_raw,none,frequency_only,0.3806974429242647,0.10836240656097748,0.358429210157559,1,5,
gemma_2_2b,collateral_raw,none,actmag_only,0.4829398187535806,0.079028534083156,0.448679143866868,1,5,
gemma_2_2b,collateral_raw,none,geometry_only,0.5553332809663878,0.1154376218322449,0.5631891407948623,5,5,
gemma_2_2b,collateral_raw,none,direct_logit_only,0.28187711916176456,0.05668202439953482,0.2653128757036843,4,5,
gemma_2_2b,collateral_raw,none,coactivation_only,0.27683757181536456,0.11885385274305668,0.2742601463472421,2,5,
gemma_2_2b,collateral_raw,none,full_no_magnitude,0.7290324659102811,0.06469027198315029,0.7316047710567183,15,5,
gemma_2_2b,collateral_raw,none,full_all,0.7335418647042579,0.07852609139862318,0.741387410676435,19,5,
gemma_2_2b,collateral_raw,primary,frequency_only,,,,1,0,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_raw,primary,actmag_only,0.2299861072520145,0.0957311437808781,0.1472856365070723,1,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_raw,primary,geometry_only,0.4808113364823562,0.169198671653931,0.5058007311192346,5,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_raw,primary,direct_logit_only,0.16167824395665467,0.13117912128427045,0.14422026911410127,4,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_raw,primary,coactivation_only,0.16722422895248684,0.0671010594668267,0.16710763452927255,2,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_raw,primary,full_no_magnitude,0.5756821339260908,0.12209641534695839,0.5949741663796263,15,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_raw,primary,full_all,0.5826285079188664,0.12009439135791956,0.5973426371404127,19,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_raw,robust,frequency_only,,,,1,0,"frequency,act_max"
gemma_2_2b,collateral_raw,robust,actmag_only,0.17039177549319257,0.12292710596512943,0.15656218402426694,1,5,"frequency,act_max"
gemma_2_2b,collateral_raw,robust,geometry_only,0.542039455404279,0.14926809107551475,0.5497029966999634,5,5,"frequency,act_max"
gemma_2_2b,collateral_raw,robust,direct_logit_only,0.2466907474298417,0.09576773589688951,0.24812497916643517,4,5,"frequency,act_max"
gemma_2_2b,collateral_raw,robust,coactivation_only,0.10037232564601281,0.1099252678172617,0.11364615162390693,2,5,"frequency,act_max"
gemma_2_2b,collateral_raw,robust,full_no_magnitude,0.6529146985273688,0.11036850273959195,0.6665505172279692,15,5,"frequency,act_max"
gemma_2_2b,collateral_raw,robust,full_all,0.6642956376771327,0.11691260319365444,0.6812155690618783,19,5,"frequency,act_max"
gemma_2_2b,collateral_raw,effect_only,frequency_only,0.4556679627917939,0.0990927785962709,0.4102644341325005,1,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,actmag_only,0.4680300083356489,0.05081658236298851,0.431699907776753,1,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,geometry_only,0.413926090580717,0.1841995520937773,0.4422120245780508,5,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,direct_logit_only,0.15776604612392334,0.101169294688441,0.14897721085789842,4,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,coactivation_only,0.3700472353431509,0.1417408845223767,0.35307992311025677,2,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,full_no_magnitude,0.6170936371214226,0.11700541490350685,0.6252438360426226,15,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,full_all,0.6081244790219505,0.10451061632151551,0.6137157079523106,19,5,effect_l2
gemma_2_2b,collateral_ctilde,none,frequency_only,0.47399449551370826,0.04073203797926878,0.4287505041016078,1,5,
gemma_2_2b,collateral_ctilde,none,actmag_only,0.41820505696026683,0.06577379977033015,0.36787742086023173,1,5,
gemma_2_2b,collateral_ctilde,none,geometry_only,0.3708474576271187,0.15584130109200553,0.36913165701841133,5,5,
gemma_2_2b,collateral_ctilde,none,direct_logit_only,0.21748263406501808,0.09584179072426319,0.19845020500227778,4,5,
gemma_2_2b,collateral_ctilde,none,coactivation_only,0.38227285357043633,0.06748581164097976,0.36979921999133325,2,5,
gemma_2_2b,collateral_ctilde,none,full_no_magnitude,0.5859516532370105,0.06710876313282273,0.5852069467438527,15,5,
gemma_2_2b,collateral_ctilde,none,full_all,0.5752153375937762,0.053503386262286054,0.5762988477649751,19,5,
gemma_2_2b,collateral_ctilde,primary,frequency_only,,,,1,0,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_ctilde,primary,actmag_only,0.23934426229508202,0.10346946826920111,0.15872443027144745,1,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_ctilde,primary,geometry_only,0.4459460961378162,0.16007413975611678,0.44999966666296287,5,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_ctilde,primary,direct_logit_only,0.10604056682411782,0.12637399949580203,0.08933432593695485,4,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_ctilde,primary,coactivation_only,0.15884412336760215,0.11672846637850218,0.1375668618540206,2,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_ctilde,primary,full_no_magnitude,0.5852736871353155,0.09733153505684823,0.5885527616973522,15,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_ctilde,primary,full_all,0.5945873853848291,0.10086501278908226,0.596265291836576,19,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_ctilde,robust,frequency_only,,,,1,0,"frequency,act_max"
gemma_2_2b,collateral_ctilde,robust,actmag_only,-0.24271186440677975,0.10153378720719863,-0.24405737841531572,1,5,"frequency,act_max"
gemma_2_2b,collateral_ctilde,robust,geometry_only,0.38617393720477916,0.15826697490678962,0.3903852265025166,5,5,"frequency,act_max"
gemma_2_2b,collateral_ctilde,robust,direct_logit_only,0.1988330091692137,0.11572726517473607,0.18293758819542438,4,5,"frequency,act_max"
gemma_2_2b,collateral_ctilde,robust,coactivation_only,0.19362045012503476,0.1212668826300009,0.17863709596773295,2,5,"frequency,act_max"
gemma_2_2b,collateral_ctilde,robust,full_no_magnitude,0.5094303973325924,0.056395444632610925,0.5208102312247913,15,5,"frequency,act_max"
gemma_2_2b,collateral_ctilde,robust,full_all,0.5199555432064464,0.05149008639266726,0.5261387348748319,19,5,"frequency,act_max"
gemma_2_2b,collateral_ctilde,effect_only,frequency_only,0.5046116070205178,0.054664281772349235,0.47894882239741693,1,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,actmag_only,0.4958599611003057,0.04264713581503822,0.4873854153935043,1,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,geometry_only,0.41049180327868856,0.16106093110993563,0.42421582462027346,5,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,direct_logit_only,0.1129869408168936,0.09640620843293772,0.09688285425393615,4,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,coactivation_only,0.39578771881078084,0.10000356843089885,0.3846251625018055,2,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,full_no_magnitude,0.648257849402612,0.08258702444331327,0.6440853787264302,15,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,full_all,0.6403445401500418,0.08487330510568976,0.6437658196202181,19,5,effect_l2
gemma_2_2b,kl_mean,none,frequency_only,0.077191864310181,0.10868037771623378,0.04251849429635688,1,5,
gemma_2_2b,kl_mean,none,actmag_only,0.22790775215337597,0.11189378625615314,0.1923408037867087,1,5,
gemma_2_2b,kl_mean,none,geometry_only,0.45676021116976945,0.10988092917894585,0.4520899121101345,5,5,
gemma_2_2b,kl_mean,none,direct_logit_only,0.49942761878299535,0.06111419074569239,0.48471249680552003,4,5,
gemma_2_2b,kl_mean,none,coactivation_only,-0.023762156154487363,0.09894125458393369,-0.08456449516105734,2,5,
gemma_2_2b,kl_mean,none,full_no_magnitude,0.5625229230341763,0.10911429914161357,0.5369637440416004,15,5,
gemma_2_2b,kl_mean,none,full_all,0.5370158377327037,0.10341011529087145,0.5061109567884087,19,5,
gemma_2_2b,kl_mean,primary,frequency_only,,,,1,0,"effect_l2,act_max,frequency"
gemma_2_2b,kl_mean,primary,actmag_only,-0.23443178660739097,0.25863602359044224,-0.2550063889598773,1,5,"effect_l2,act_max,frequency"
gemma_2_2b,kl_mean,primary,geometry_only,0.035465407057515975,0.09431390746829128,0.045305836731519236,5,5,"effect_l2,act_max,frequency"
gemma_2_2b,kl_mean,primary,direct_logit_only,0.09524868018894139,0.11129177458138659,0.07786708741208236,4,5,"effect_l2,act_max,frequency"
gemma_2_2b,kl_mean,primary,coactivation_only,0.21573770491803282,0.11694206910583986,0.20366537405971175,2,5,"effect_l2,act_max,frequency"
