setting,target,control,predictor_set,cv_spearman_mean,cv_spearman_sd,oof_spearman,n_pred,n_defined_folds,controls
gemma_2_2b,collateral_raw,none,frequency_only,0.3806974429242647,0.10836240656097748,0.358429210157559,1,5,
gemma_2_2b,collateral_raw,none,actmag_only,0.4829398187535806,0.079028534083156,0.448679143866868,1,5,
gemma_2_2b,collateral_raw,none,geometry_only,0.5553332809663878,0.1154376218322449,0.5631891407948623,5,5,
gemma_2_2b,collateral_raw,none,direct_logit_only,0.28187711916176456,0.05668202439953482,0.2653128757036843,4,5,
gemma_2_2b,collateral_raw,none,coactivation_only,0.27683757181536456,0.11885385274305668,0.2742601463472421,2,5,
gemma_2_2b,collateral_raw,none,full_no_magnitude,0.7290324659102811,0.06469027198315029,0.7316047710567183,15,5,
gemma_2_2b,collateral_raw,none,full_all,0.7335418647042579,0.07852609139862318,0.741387410676435,19,5,
gemma_2_2b,collateral_raw,primary,frequency_only,,,,1,0,"effect_l2,act_mean_firing,frequency"
gemma_2_2b,collateral_raw,primary,actmag_only,0.2533926090580717,0.10523573924798572,0.17227302525583618,1,5,"effect_l2,act_mean_firing,frequency"
gemma_2_2b,collateral_raw,primary,geometry_only,0.4845457071408726,0.1645580636686477,0.5140230447004966,5,5,"effect_l2,act_mean_firing,frequency"
gemma_2_2b,collateral_raw,primary,direct_logit_only,0.15829952764656852,0.13714146037957076,0.13970244113823482,4,5,"effect_l2,act_mean_firing,frequency"
gemma_2_2b,collateral_raw,primary,coactivation_only,0.1864851347596555,0.07022035859219386,0.18277536417071302,2,5,"effect_l2,act_mean_firing,frequency"
gemma_2_2b,collateral_raw,primary,full_no_magnitude,0.5797943873298139,0.12047639616039024,0.6014142379359769,15,5,"effect_l2,act_mean_firing,frequency"
gemma_2_2b,collateral_raw,primary,full_all,0.5860183384273411,0.11126919421773432,0.6019164657385082,19,5,"effect_l2,act_mean_firing,frequency"
gemma_2_2b,collateral_raw,robust,frequency_only,,,,1,0,"frequency,act_mean_firing"
gemma_2_2b,collateral_raw,robust,actmag_only,0.19728813559322037,0.12011657452069349,0.17286680963121812,1,5,"frequency,act_mean_firing"
gemma_2_2b,collateral_raw,robust,geometry_only,0.5378382884134483,0.15684900652696293,0.5576746408293426,5,5,"frequency,act_mean_firing"
gemma_2_2b,collateral_raw,robust,direct_logit_only,0.21829397054737432,0.13680601016617142,0.21171790797675527,4,5,"frequency,act_mean_firing"
gemma_2_2b,collateral_raw,robust,coactivation_only,0.09394831897749376,0.09437405187879075,0.09583706485627619,2,5,"frequency,act_mean_firing"
gemma_2_2b,collateral_raw,robust,full_no_magnitude,0.6384328980272299,0.11664846862793285,0.6574926388070979,15,5,"frequency,act_mean_firing"
gemma_2_2b,collateral_raw,robust,full_all,0.6589608224506809,0.10650816978230195,0.6789630995899955,19,5,"frequency,act_mean_firing"
gemma_2_2b,collateral_raw,effect_only,frequency_only,0.4556679627917939,0.0990927785962709,0.4102644341325005,1,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,actmag_only,0.4680300083356489,0.05081658236298851,0.431699907776753,1,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,geometry_only,0.413926090580717,0.1841995520937773,0.4422120245780508,5,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,direct_logit_only,0.15776604612392334,0.101169294688441,0.14897721085789842,4,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,coactivation_only,0.3700472353431509,0.1417408845223767,0.35307992311025677,2,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,full_no_magnitude,0.6170936371214226,0.11700541490350685,0.6252438360426226,15,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,full_all,0.6081244790219505,0.10451061632151551,0.6137157079523106,19,5,effect_l2
gemma_2_2b,collateral_ctilde,none,frequency_only,0.47399449551370826,0.04073203797926878,0.4287505041016078,1,5,
gemma_2_2b,collateral_ctilde,none,actmag_only,0.41820505696026683,0.06577379977033015,0.36787742086023173,1,5,
gemma_2_2b,collateral_ctilde,none,geometry_only,0.3708474576271187,0.15584130109200553,0.36913165701841133,5,5,
gemma_2_2b,collateral_ctilde,none,direct_logit_only,0.21748263406501808,0.09584179072426319,0.19845020500227778,4,5,
gemma_2_2b,collateral_ctilde,none,coactivation_only,0.38227285357043633,0.06748581164097976,0.36979921999133325,2,5,
gemma_2_2b,collateral_ctilde,none,full_no_magnitude,0.5859516532370105,0.06710876313282273,0.5852069467438527,15,5,
gemma_2_2b,collateral_ctilde,none,full_all,0.5752153375937762,0.053503386262286054,0.5762988477649751,19,5,
gemma_2_2b,collateral_ctilde,primary,frequency_only,,,,1,0,"effect_l2,act_mean_firing,frequency"
gemma_2_2b,collateral_ctilde,primary,actmag_only,0.15842178382884137,0.21896207851340527,0.1467336303736708,1,5,"effect_l2,act_mean_firing,frequency"
gemma_2_2b,collateral_ctilde,primary,geometry_only,0.45372603500972497,0.1602611003219978,0.4595988844320492,5,5,"effect_l2,act_mean_firing,frequency"
gemma_2_2b,collateral_ctilde,primary,direct_logit_only,0.10612948041122536,0.12848689400938224,0.0850636118179091,4,5,"effect_l2,act_mean_firing,frequency"
gemma_2_2b,collateral_ctilde,primary,coactivation_only,0.15814392886913034,0.13058718382773613,0.14350026111401235,2,5,"effect_l2,act_mean_firing,frequency"
gemma_2_2b,collateral_ctilde,primary,full_no_magnitude,0.580150041678244,0.1007998753284758,0.5888185424282492,15,5,"effect_l2,act_mean_firing,frequency"
gemma_2_2b,collateral_ctilde,primary,full_all,0.5829619338705198,0.10164550640933288,0.588750986122068,19,5,"effect_l2,act_mean_firing,frequency"
gemma_2_2b,collateral_ctilde,robust,frequency_only,,,,1,0,"frequency,act_mean_firing"
gemma_2_2b,collateral_ctilde,robust,actmag_only,-0.2536593498193943,0.10860164099234829,-0.2588637651529461,1,5,"frequency,act_mean_firing"
gemma_2_2b,collateral_ctilde,robust,geometry_only,0.3742706307307586,0.1694293729050794,0.379954443938266,5,5,"frequency,act_mean_firing"
gemma_2_2b,collateral_ctilde,robust,direct_logit_only,0.19033064740205616,0.10888229667447868,0.17323303592262138,4,5,"frequency,act_mean_firing"
gemma_2_2b,collateral_ctilde,robust,coactivation_only,0.19582106140594613,0.12368786807255677,0.17540017111301234,2,5,"frequency,act_mean_firing"
gemma_2_2b,collateral_ctilde,robust,full_no_magnitude,0.49920533481522666,0.048575308145774446,0.5091296569961888,15,5,"frequency,act_mean_firing"
gemma_2_2b,collateral_ctilde,robust,full_all,0.5190552931369826,0.05904732718017701,0.5262422915810175,19,5,"frequency,act_mean_firing"
gemma_2_2b,collateral_ctilde,effect_only,frequency_only,0.5046116070205178,0.054664281772349235,0.47894882239741693,1,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,actmag_only,0.4958599611003057,0.04264713581503822,0.4873854153935043,1,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,geometry_only,0.41049180327868856,0.16106093110993563,0.42421582462027346,5,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,direct_logit_only,0.1129869408168936,0.09640620843293772,0.09688285425393615,4,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,coactivation_only,0.39578771881078084,0.10000356843089885,0.3846251625018055,2,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,full_no_magnitude,0.648257849402612,0.08258702444331327,0.6440853787264302,15,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,full_all,0.6403445401500418,0.08487330510568976,0.6437658196202181,19,5,effect_l2
gemma_2_2b,kl_mean,none,frequency_only,0.077191864310181,0.10868037771623378,0.04251849429635688,1,5,
gemma_2_2b,kl_mean,none,actmag_only,0.22790775215337597,0.11189378625615314,0.1923408037867087,1,5,
gemma_2_2b,kl_mean,none,geometry_only,0.45676021116976945,0.10988092917894585,0.4520899121101345,5,5,
gemma_2_2b,kl_mean,none,direct_logit_only,0.49942761878299535,0.06111419074569239,0.48471249680552003,4,5,
gemma_2_2b,kl_mean,none,coactivation_only,-0.023762156154487363,0.09894125458393369,-0.08456449516105734,2,5,
gemma_2_2b,kl_mean,none,full_no_magnitude,0.5625229230341763,0.10911429914161357,0.5369637440416004,15,5,
gemma_2_2b,kl_mean,none,full_all,0.5370158377327037,0.10341011529087145,0.5061109567884087,19,5,
gemma_2_2b,kl_mean,primary,frequency_only,,,,1,0,"effect_l2,act_mean_firing,frequency"
gemma_2_2b,kl_mean,primary,actmag_only,-0.23785495971103093,0.25421175675038693,-0.2583877598639985,1,5,"effect_l2,act_mean_firing,frequency"
gemma_2_2b,kl_mean,primary,geometry_only,0.023839955543206448,0.08554007247693274,0.04416093512150135,5,5,"effect_l2,act_mean_firing,frequency"
