setting,target,control,predictor_set,cv_spearman_mean,cv_spearman_sd,oof_spearman,n_pred,n_defined_folds,controls
gemma_2_2b,collateral_raw,none,frequency_only,0.3806974429242647,0.10836240656097748,0.358429210157559,1,5,
gemma_2_2b,collateral_raw,none,actmag_only,0.4829398187535806,0.079028534083156,0.448679143866868,1,5,
gemma_2_2b,collateral_raw,none,geometry_only,0.5553332809663878,0.1154376218322449,0.5631891407948623,5,5,
gemma_2_2b,collateral_raw,none,direct_logit_only,0.28187711916176456,0.05668202439953482,0.2653128757036843,4,5,
gemma_2_2b,collateral_raw,none,coactivation_only,0.27683757181536456,0.11885385274305668,0.2742601463472421,2,5,
gemma_2_2b,collateral_raw,none,full_no_magnitude,0.7290324659102811,0.06469027198315029,0.7316047710567183,15,5,
gemma_2_2b,collateral_raw,none,full_all,0.7335418647042579,0.07852609139862318,0.741387410676435,19,5,
gemma_2_2b,collateral_raw,primary,frequency_only,,,,1,0,"effect_l2,ctx_mean_act,frequency"
gemma_2_2b,collateral_raw,primary,actmag_only,-0.10078355098638511,0.09443483686370832,-0.13646107178968656,1,5,"effect_l2,ctx_mean_act,frequency"
gemma_2_2b,collateral_raw,primary,geometry_only,0.48180050013892767,0.14518180885252552,0.5056811742352693,5,5,"effect_l2,ctx_mean_act,frequency"
gemma_2_2b,collateral_raw,primary,direct_logit_only,0.14598499583217564,0.11383474836479657,0.14044822720252445,4,5,"effect_l2,ctx_mean_act,frequency"
gemma_2_2b,collateral_raw,primary,coactivation_only,0.09666018338427343,0.055739490031381435,0.08911032344803829,2,5,"effect_l2,ctx_mean_act,frequency"
gemma_2_2b,collateral_raw,primary,full_no_magnitude,0.5257460405668242,0.13883131942975374,0.549534550383893,15,5,"effect_l2,ctx_mean_act,frequency"
gemma_2_2b,collateral_raw,primary,full_all,0.5336593498193943,0.1336389783977862,0.5614542383804263,19,5,"effect_l2,ctx_mean_act,frequency"
gemma_2_2b,collateral_raw,robust,frequency_only,,,,1,0,"frequency,ctx_mean_act"
gemma_2_2b,collateral_raw,robust,actmag_only,0.05534870797443734,0.10766302236932768,-0.02126512516805742,1,5,"frequency,ctx_mean_act"
gemma_2_2b,collateral_raw,robust,geometry_only,0.4812892470130593,0.1708074737914613,0.5001295569950777,5,5,"frequency,ctx_mean_act"
gemma_2_2b,collateral_raw,robust,direct_logit_only,0.20334537371492084,0.1487683734052217,0.2040680452005022,4,5,"frequency,ctx_mean_act"
gemma_2_2b,collateral_raw,robust,coactivation_only,0.08566824117810504,0.12261644662996238,0.09963355148390536,2,5,"frequency,ctx_mean_act"
gemma_2_2b,collateral_raw,robust,full_no_magnitude,0.5188441233676022,0.17504623099136615,0.5490007666751853,15,5,"frequency,ctx_mean_act"
gemma_2_2b,collateral_raw,robust,full_all,0.5595998888580163,0.14654168566911213,0.5829882554250602,19,5,"frequency,ctx_mean_act"
gemma_2_2b,collateral_raw,effect_only,frequency_only,0.4556679627917939,0.0990927785962709,0.4102644341325005,1,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,actmag_only,0.4680300083356489,0.05081658236298851,0.431699907776753,1,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,geometry_only,0.413926090580717,0.1841995520937773,0.4422120245780508,5,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,direct_logit_only,0.15776604612392334,0.101169294688441,0.14897721085789842,4,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,coactivation_only,0.3700472353431509,0.1417408845223767,0.35307992311025677,2,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,full_no_magnitude,0.6170936371214226,0.11700541490350685,0.6252438360426226,15,5,effect_l2
gemma_2_2b,collateral_raw,effect_only,full_all,0.6081244790219505,0.10451061632151551,0.6137157079523106,19,5,effect_l2
gemma_2_2b,collateral_ctilde,none,frequency_only,0.47399449551370826,0.04073203797926878,0.4287505041016078,1,5,
gemma_2_2b,collateral_ctilde,none,actmag_only,0.41820505696026683,0.06577379977033015,0.36787742086023173,1,5,
gemma_2_2b,collateral_ctilde,none,geometry_only,0.3708474576271187,0.15584130109200553,0.36913165701841133,5,5,
gemma_2_2b,collateral_ctilde,none,direct_logit_only,0.21748263406501808,0.09584179072426319,0.19845020500227778,4,5,
gemma_2_2b,collateral_ctilde,none,coactivation_only,0.38227285357043633,0.06748581164097976,0.36979921999133325,2,5,
gemma_2_2b,collateral_ctilde,none,full_no_magnitude,0.5859516532370105,0.06710876313282273,0.5852069467438527,15,5,
gemma_2_2b,collateral_ctilde,none,full_all,0.5752153375937762,0.053503386262286054,0.5762988477649751,19,5,
gemma_2_2b,collateral_ctilde,primary,frequency_only,,,,1,0,"effect_l2,ctx_mean_act,frequency"
gemma_2_2b,collateral_ctilde,primary,actmag_only,-0.1005056960266741,0.049133300488298955,-0.11198568872987476,1,5,"effect_l2,ctx_mean_act,frequency"
gemma_2_2b,collateral_ctilde,primary,geometry_only,0.460350097249236,0.12923981094589077,0.4615202391137679,5,5,"effect_l2,ctx_mean_act,frequency"
gemma_2_2b,collateral_ctilde,primary,direct_logit_only,0.10985273687135318,0.10295417019506865,0.09166635184835387,4,5,"effect_l2,ctx_mean_act,frequency"
gemma_2_2b,collateral_ctilde,primary,coactivation_only,0.05290358432898028,0.0807236248968783,0.03413237924865832,2,5,"effect_l2,ctx_mean_act,frequency"
gemma_2_2b,collateral_ctilde,primary,full_no_magnitude,0.5424951375382052,0.1216871569168305,0.5498065534061489,15,5,"effect_l2,ctx_mean_act,frequency"
gemma_2_2b,collateral_ctilde,primary,full_all,0.5497749374826342,0.12490379931023764,0.5547386082067578,19,5,"effect_l2,ctx_mean_act,frequency"
gemma_2_2b,collateral_ctilde,robust,frequency_only,,,,1,0,"frequency,ctx_mean_act"
gemma_2_2b,collateral_ctilde,robust,actmag_only,-0.15477632675743266,0.08964004699112392,-0.18583717596862184,1,5,"frequency,ctx_mean_act"
gemma_2_2b,collateral_ctilde,robust,geometry_only,0.41897193664906923,0.13132913523010803,0.41923710263447367,5,5,"frequency,ctx_mean_act"
gemma_2_2b,collateral_ctilde,robust,direct_logit_only,0.23519866629619343,0.11952589266804689,0.22024955832842588,4,5,"frequency,ctx_mean_act"
gemma_2_2b,collateral_ctilde,robust,coactivation_only,0.15733259238677416,0.09101040630123546,0.15382882032022574,2,5,"frequency,ctx_mean_act"
gemma_2_2b,collateral_ctilde,robust,full_no_magnitude,0.5107196443456516,0.04509376410191234,0.5197115523505816,15,5,"frequency,ctx_mean_act"
gemma_2_2b,collateral_ctilde,robust,full_all,0.5046846346207281,0.06844571855392156,0.5066882965366282,19,5,"frequency,ctx_mean_act"
gemma_2_2b,collateral_ctilde,effect_only,frequency_only,0.5046116070205178,0.054664281772349235,0.47894882239741693,1,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,actmag_only,0.4958599611003057,0.04264713581503822,0.4873854153935043,1,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,geometry_only,0.41049180327868856,0.16106093110993563,0.42421582462027346,5,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,direct_logit_only,0.1129869408168936,0.09640620843293772,0.09688285425393615,4,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,coactivation_only,0.39578771881078084,0.10000356843089885,0.3846251625018055,2,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,full_no_magnitude,0.648257849402612,0.08258702444331327,0.6440853787264302,15,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,full_all,0.6403445401500418,0.08487330510568976,0.6437658196202181,19,5,effect_l2
gemma_2_2b,kl_mean,none,frequency_only,0.077191864310181,0.10868037771623378,0.04251849429635688,1,5,
gemma_2_2b,kl_mean,none,actmag_only,0.22790775215337597,0.11189378625615314,0.1923408037867087,1,5,
gemma_2_2b,kl_mean,none,geometry_only,0.45676021116976945,0.10988092917894585,0.4520899121101345,5,5,
gemma_2_2b,kl_mean,none,direct_logit_only,0.49942761878299535,0.06111419074569239,0.48471249680552003,4,5,
gemma_2_2b,kl_mean,none,coactivation_only,-0.023762156154487363,0.09894125458393369,-0.08456449516105734,2,5,
gemma_2_2b,kl_mean,none,full_no_magnitude,0.5625229230341763,0.10911429914161357,0.5369637440416004,15,5,
gemma_2_2b,kl_mean,none,full_all,0.5370158377327037,0.10341011529087145,0.5061109567884087,19,5,
gemma_2_2b,kl_mean,primary,frequency_only,,,,1,0,"effect_l2,ctx_mean_act,frequency"
gemma_2_2b,kl_mean,primary,actmag_only,-0.2659961100305641,0.23433705650882386,-0.2886592073245258,1,5,"effect_l2,ctx_mean_act,frequency"
gemma_2_2b,kl_mean,primary,geometry_only,0.03157543762156155,0.07246040895783673,0.042309803442260464,5,5,"effect_l2,ctx_mean_act,frequency"
