feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_reconstruction_norm_ratio,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx
43,0.1466442197561264,0.2041100561618805,1.0000001192092896,0.9449360966682434,0.8516426086425781,0.0048828125,0.028109438717365265,5.756813049316406,0.4761105477809906,15.799935340881348,664.8740844726562,0.03085736557841301,0.28146234154701233,6.359133720397949,81.0999984741211,71.6814956665039,1.1624871492385864,12.16935920715332,0.0003385671880096197,3.1875,5.934350967407227,0.5371269768396221,2.25,0.37914845423973326,0.8010927438735962,2.1328601837158203,0.30310776829719543,0.35212719440460205,0.1041666716337204,0.6661098003387451,7.9492438089801e-06,1.3395304455775884e-06,0.8253787755966187,0.6346988081932068,1.0,48
89,0.179976686835289,0.753450334072113,1.0,0.8648819327354431,0.9327532052993774,0.00390625,0.014142808504402637,3.620558977127075,0.22678734362125397,4.215417861938477,259.29888916015625,0.02555946074426174,0.27221739292144775,6.39365291595459,96.5,55.48975372314453,0.7823280096054077,12.163606643676758,0.0002857553190551698,2.9791667461395264,3.751791000366211,0.7940652178940881,1.4791667461395264,0.3942561678016136,0.5830869078636169,2.8228354454040527,0.4061536192893982,0.522713303565979,0.125,0.44533488154411316,2.8636682145588566e-06,7.632803124285259e-07,0.4464322328567505,0.3599182665348053,1.0,48
148,0.20590367913246155,0.2879942059516907,0.9999999403953552,1.225932240486145,0.7775681018829346,0.00244140625,0.013657565228641033,5.5941386222839355,0.32483193278312683,12.484115600585938,1099.6866455078125,0.01712392456829548,0.19047211110591888,6.1766886711120605,115.5999984741211,76.4727554321289,1.1994273662567139,12.159313201904297,0.00034661145764403045,3.75,7.511717796325684,0.49922003151424194,2.8958334922790527,0.3855088232734789,1.0590708255767822,2.032170057296753,0.39799150824546814,0.40301164984703064,0.0416666679084301,0.367935448884964,9.557845260133035e-06,1.2723914165258299e-06,0.5509845614433289,0.1504604071378708,1.0,48
266,0.23452194035053253,0.40966933965682983,1.0,0.9729461073875427,0.7701588273048401,0.00830078125,0.04103090986609459,4.943017959594727,0.45988568663597107,7.300958633422852,141.85255432128906,0.04803864285349846,0.3683917224407196,6.782562255859375,76.23529052734375,61.308837890625,0.6608806848526001,12.166051864624023,0.00023030128795653582,6.4166669845581055,6.387166976928711,1.004618635725317,4.583333492279053,0.7175847291387262,0.8933653831481934,2.8806099891662598,0.49421483278274536,0.560245156288147,0.0833333358168602,0.3589332699775696,7.17013517714804e-06,1.1225845812113052e-06,0.3773173391819,0.9217683672904968,1.0,48
293,0.21450889110565186,0.32584744691848755,1.0,1.1260790824890137,0.7869975566864014,0.013671875,0.06771737337112427,4.953042030334473,0.6344619989395142,12.069558143615723,162.25967407226562,0.07226333767175674,0.425581157207489,7.334673881530762,105.21428680419922,61.18506622314453,0.7510172724723816,12.162477493286133,0.00024399161338806152,4.9166669845581055,7.113587379455566,0.691165612423073,3.9166667461395264,0.5505895312321855,0.8135806918144226,3.257253646850586,0.4905111789703369,0.5217604637145996,0.0625,0.736805260181427,9.17792749532964e-06,1.2901967731406568e-06,1.0899720191955566,1.4278377294540405,1.0,48
297,0.15788093209266663,0.27121850848197937,1.0,1.090834140777588,0.8034213185310364,0.0029296875,0.01625402644276619,5.548040866851807,0.324738472700119,9.835708618164062,577.3910522460938,0.020013848319649696,0.2244921177625656,5.96728515625,76.16666412353516,79.9084701538086,1.035825490951538,12.19047737121582,0.00024210244009736925,2.6875,5.551865577697754,0.48407151750128224,1.7291667461395264,0.3114568821642847,0.6818902492523193,2.392723560333252,0.2197386473417282,0.2873697578907013,0.2291666716337204,0.8202946782112122,5.668819994752994e-06,1.0210657850424903e-06,1.3458279371261597,0.26700475811958313,1.0,48
385,0.2249424308538437,0.26710134744644165,0.9999998807907104,1.0285500288009644,0.7538080215454102,0.013671875,0.06089751794934273,4.45421838760376,0.5353497266769409,7.7079854011535645,91.55561828613281,0.07226333767175674,0.43272414803504944,6.971729278564453,71.78571319580078,73.7228012084961,0.9710772633552551,12.164204597473145,0.0002760020433925092,6.4166669845581055,5.27457332611084,1.216528157951327,4.6041669845581055,0.8728984680214812,0.8861080408096313,3.4051971435546875,0.3001064658164978,0.3001064658164978,0.0,0.15745268762111664,9.791199772735126e-06,1.8563017610737366e-06,0.35911911725997925,1.2803553342819214,1.0,48
454,0.2299448549747467,0.2883767783641815,1.0,1.032704472541809,0.7321827411651611,0.01171875,0.06126518175005913,5.227962017059326,0.6304359436035156,15.161635398864746,225.34747314453125,0.0637580007314682,0.40347111225128174,6.5898237228393555,62.83333206176758,72.05140686035156,0.8895854949951172,12.160419464111328,0.00027374053024686873,5.7291669845581055,6.121636867523193,0.9358880801299863,3.5625,0.5819521920812433,0.862790584564209,2.2551374435424805,0.2732963562011719,0.3817007541656494,0.1875,0.5794438719749451,5.311241693561897e-06,8.676178936818641e-07,0.7028790712356567,1.564188003540039,1.0,48
496,0.15857231616973877,0.20336808264255524,1.0,0.9978770017623901,0.8148983120918274,0.01025390625,0.07473525404930115,7.288466453552246,0.8501434326171875,20.286725997924805,263.9930114746094,0.057165034115314484,0.3806382119655609,6.73261833190918,97.33333587646484,68.3281478881836,0.9346299171447754,12.170486450195312,0.0002870899043045938,5.25,4.9793877601623535,1.0543464864213263,3.9791667461395264,0.7991277100336746,0.8626987338066101,2.1973955631256104,0.30175209045410156,0.3019648492336273,0.02083333395421505,0.2771746814250946,1.0239992661809083e-05,2.0564762445635373e-06,0.4651612639427185,2.135571241378784,1.0,48
504,0.13646383583545685,0.18113116919994354,1.0,1.0163564682006836,0.8185812830924988,0.00390625,0.025380700826644897,6.497459411621094,0.4238767921924591,9.72027587890625,332.6308288574219,0.02555946074426174,0.2664346694946289,6.395210266113281,93.375,57.392784118652344,0.8122414350509644,12.16099739074707,0.00028430813108570874,2.9791667461395264,5.441473960876465,0.5474926025713707,2.2708334922790527,0.41731955430327766,0.7772078514099121,2.1926519870758057,0.3228608965873718,0.36742863059043884,0.1875,0.472986102104187,1.052764491760172e-05,1.9347046359032788e-06,0.6464969515800476,0.6499966979026794,1.0,48
563,0.13803379237651825,0.219823956489563,1.0,1.019155502319336,0.8262228965759277,0.00390625,0.0368354395031929,9.429872512817383,0.6844550371170044,18.107351303100586,494.2706298828125,0.02555946074426174,0.24932566285133362,5.648035526275635,69.125,62.555667877197266,0.7230936288833618,12.164072036743164,0.00025737902615219355,4.145833492279053,6.444327354431152,0.6433306779481104,2.9166667461395264,0.4525944417780185,0.7275806665420532,3.1041007041931152,0.6273518800735474,0.6295000910758972,0.02083333395421505,0.52031010389328,5.628885901387548e-06,8.734636810127997e-07,0.5473164916038513,0.3772364854812622,1.0,48
670,0.13536040484905243,0.1981026828289032,1.0,0.9620826244354248,0.8524572849273682,0.00341796875,0.015527958050370216,4.543036937713623,0.2732561528682709,6.259448051452637,362.7140808105469,0.02282176911830902,0.2513507306575775,6.053069591522217,72.85713958740234,54.384429931640625,0.6281743049621582,12.161504745483398,0.0002675845171324909,2.4375,4.497695446014404,0.5419442076142635,1.625,0.361296138409509,0.6472585201263428,2.618864059448242,0.21508030593395233,0.23475942015647888,0.1041666716337204,0.6777085065841675,7.752410965622403e-06,1.7236407047648658e-06,0.8457306027412415,0.15919950604438782,1.0,48
680,0.13482597470283508,0.18965978920459747,1.0,1.0200802087783813,0.8884550333023071,0.0078125,0.05226202309131622,6.689538955688477,0.7437151074409485,23.36426544189453,566.4180297851562,0.04568839073181152,0.33539775013923645,7.009797096252441,120.6875,68.4698486328125,1.335028052330017,12.156429290771484,0.0004274038365110755,3.9375,7.062819480895996,0.5574969040445468,3.0208334922790527,0.42770928751229165,0.9746977686882019,2.1792683601379395,0.3508540093898773,0.3618226945400238,0.0416666679084301,0.6487784385681152,1.4042359907762147e-05,1.988208806109629e-06,0.9815093874931335,0.6513626575469971,1.0,48
700,0.16120968759059906,0.1987910121679306,1.0,0.9652278423309326,0.8261256217956543,0.00830078125,0.03462223708629608,4.170961380004883,0.3906666040420532,7.5175299644470215,157.8325653076172,0.04803864285349846,0.36778467893600464,6.517791748046875,66.23529052734375,57.963932037353516,0.7899755239486694,12.158775329589844,0.0002936960372608155,4.520833492279053,5.011274814605713,0.9021324214911227,3.1666667461395264,0.6319084179121387,0.7581021189689636,3.3684120178222656,0.2518391013145447,0.3357425630092621,0.1875,0.5808489322662354,5.662655894411728e-06,1.129983106615444e-06,0.7739218473434448,0.6114915609359741,1.0,48
