feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_reconstruction_norm_ratio,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx
0,0.07102334499359131,0.0798429548740387,1.0000001192092896,,,,,,,,,,,,,57.45167541503906,0.6452319025993347,12.163028717041016,0.0002404113474767655,3.5,4.223496913909912,0.8286971822297119,2.0,0.47354124698840677,0.6760834455490112,3.0566518306732178,0.35039782524108887,0.35039782524108887,0.0,0.21540696918964386,4.044729394081514e-06,9.576731005020116e-07,0.3420450687408447,,1.0,48
1,0.07124856114387512,0.08632606267929077,0.9999998807907104,,,,,,,,,,,,,69.71648406982422,1.0085781812667847,12.158658981323242,0.00029614538652822375,3.0833334922790527,4.673382759094238,0.6597648094801023,2.2291667461395264,0.47699211818927634,0.7329003810882568,2.8686444759368896,0.3634641170501709,0.3694600462913513,0.0625,0.42070823907852173,6.017305167915765e-06,1.2875695112561894e-06,0.41028472781181335,,1.0,48
2,0.07196273654699326,0.07966068387031555,1.0,,,,,,,,,,,,,56.79689025878906,0.8051708936691284,12.163954734802246,0.000286884605884552,3.75,9.137317657470703,0.410404906173962,2.5,0.27360327078264135,0.7383214831352234,1.9679641723632812,0.26949402689933777,0.3439646363258362,0.1458333432674408,0.9634954929351807,6.920985470060259e-06,7.574417046590494e-07,2.2051281929016113,,1.0,48
3,0.07593043893575668,0.09118878841400146,1.0000001192092896,,,,,,,,,,,,,80.74555206298828,0.9929752945899963,12.172798156738281,0.00025351575459353626,3.125,4.613763332366943,0.677321259914649,2.1041667461395264,0.456062998901034,0.7138971090316772,2.493769645690918,0.3216651678085327,0.32988977432250977,0.0416666679084301,0.529670774936676,6.3265106291510165e-06,1.3712256480639952e-06,0.6852937340736389,,1.0,48
4,0.07111673802137375,0.08288704603910446,1.0,,,,,,,,,,,,,59.18016815185547,0.5853582620620728,12.161199569702148,0.00023129367036744952,4.1875,4.540460586547852,0.9222632618337862,2.8541667461395264,0.6286073153700689,0.7141172289848328,3.3182263374328613,0.36813968420028687,0.3807523846626282,0.0625,0.38683614134788513,5.995653737045359e-06,1.3204946083231958e-06,0.45692476630210876,,1.0,48
5,0.073580302298069,0.09046707302331924,0.9999999403953552,,,,,,,,,,,,,63.784149169921875,0.6871156096458435,12.164506912231445,0.0002433780609862879,3.0,4.663500785827637,0.6432935537791812,1.7291667461395264,0.37078727373362635,0.7128521203994751,2.4077208042144775,0.33795222640037537,0.3740696907043457,0.0833333358168602,0.3521120250225067,4.541126600088319e-06,9.73759156243995e-07,0.35213354229927063,,1.0,48
6,0.0726410299539566,0.08406632393598557,0.9999998807907104,,,,,,,,,,,,,57.608856201171875,0.9836037158966064,12.163688659667969,0.00030476588290184736,3.1875,4.282135963439941,0.7443715051951995,2.0625,0.4816521504204232,0.7226051092147827,2.070449113845825,0.35206323862075806,0.3743058443069458,0.0833333358168602,0.21796481311321259,5.855589733982924e-06,1.3674460059891536e-06,0.23059581220149994,,1.0,48
7,0.07127056270837784,0.0882311463356018,1.0,,,,,,,,,,,,,57.65442657470703,0.6001037359237671,12.161733627319336,0.0002424097910989076,3.7708334922790527,4.968966484069824,0.7588768201152746,1.9791667461395264,0.3983055125248979,0.7335028648376465,3.222886562347412,0.38699424266815186,0.400078147649765,0.0625,0.35102924704551697,5.2739410421054345e-06,1.0613758511754064e-06,0.4436597228050232,,1.0,48
8,0.07112063467502594,0.08362802118062973,1.0000001192092896,,,,,,,,,,,,,70.38150024414062,0.95145583152771,12.166135787963867,0.00022704036382492632,2.9375,5.555663585662842,0.5287397174827554,1.875,0.3374934366911205,0.7268714904785156,2.160459518432617,0.2733401656150818,0.34524643421173096,0.2291666716337204,0.6438541412353516,5.983914888929576e-06,1.0770837337237371e-06,0.7530859708786011,,1.0,48
9,0.07134373486042023,0.08128011971712112,1.0000001192092896,,,,,,,,,,,,,56.916358947753906,0.7131919264793396,12.16335391998291,0.00026138598332181573,4.375,5.5284528732299805,0.7913606378506243,2.9375,0.5313421425568478,0.7427038550376892,3.0609498023986816,0.305973619222641,0.36882397532463074,0.1041666716337204,0.6460690498352051,7.040483978926204e-06,1.273499861106318e-06,0.7701528668403625,,1.0,48
10,0.07323747873306274,0.083997942507267,1.0,,,,,,,,,,,,,61.37950897216797,0.6518120765686035,12.164376258850098,0.0002397750795353204,2.4583334922790527,4.523996829986572,0.5433985874062524,1.7291667461395264,0.3822210331483474,0.7071118354797363,3.266631603240967,0.4252646863460541,0.4630718231201172,0.0416666679084301,0.3251104950904846,4.024128884339007e-06,8.895074480978087e-07,0.3886425197124481,,1.0,48
11,0.07028605043888092,0.08177964389324188,1.0,,,,,,,,,,,,,59.76970291137695,0.7389793992042542,12.159751892089844,0.00028021010803058743,3.0625,5.0894622802734375,0.601733508440135,1.8958333730697632,0.37250170350862494,0.7163562774658203,2.7472140789031982,0.3883976340293884,0.4087720811367035,0.0833333358168602,0.3660978674888611,5.108160166855669e-06,1.0036738412657002e-06,0.36546704173088074,,1.0,48
12,0.07049454748630524,0.08216991275548935,1.0,,,,,,,,,,,,,61.3873291015625,0.7444781064987183,12.161369323730469,0.00025192942121066153,3.1458334922790527,4.823711395263672,0.6521603860559101,1.8958333730697632,0.3930237971950426,0.7098128199577332,3.1087379455566406,0.32696202397346497,0.32709598541259766,0.02083333395421505,0.5344241261482239,5.637470167130232e-06,1.1686997196761356e-06,0.558036744594574,,1.0,48
13,0.07413750886917114,0.09041133522987366,0.9999998807907104,,,,,,,,,,,,,56.996036529541016,0.6579995155334473,12.163288116455078,0.0002489433391019702,3.0625,5.409783840179443,0.5661039488478669,2.0,0.36970053802309677,0.7037832736968994,2.633523464202881,0.38891905546188354,0.46821320056915283,0.125,0.630643904209137,5.799112841486931e-06,1.0719675687771838e-06,0.713526725769043,,1.0,48
14,0.07159870117902756,0.10083647817373276,1.0000001192092896,,,,,,,,,,,,,59.92230224609375,0.85120689868927,12.16145133972168,0.0002701779012568295,2.875,5.257734298706055,0.5468134810919243,1.9583333730697632,0.37246716134496255,0.6985213160514832,2.5049355030059814,0.44292134046554565,0.4776906669139862,0.0625,0.6070637702941895,4.878344952885527e-06,9.278416645754972e-07,0.8151252865791321,,1.0,48
