feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_reconstruction_norm_ratio,resid_error_delta_norm,resid_change_explained_energy,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx,matched_feature
0,0.07107945531606674,0.08384095132350922,1.0000001192092896,,,,,,,,,,,,,59.87583541870117,0.7065165042877197,12.161711692810059,0.0002524521551094949,3.3541667461395264,5.47262716293335,0.6128988217448184,1.7916667461395264,0.32738695502606036,0.6929687261581421,1.9329952001571655,1.6541732549667358,-11.755334854125977,0.3087025582790375,0.33240577578544617,0.0625,0.7120545506477356,7.537616966146743e-06,1.3773306179939444e-06,0.7855139970779419,,1.0,48,43
1,0.07413271069526672,0.09035426378250122,1.0,,,,,,,,,,,,,57.63449478149414,0.5887554883956909,12.162271499633789,0.00023561908164992929,3.0833334922790527,5.461092948913574,0.564600074651073,2.2916667461395264,0.419635183539419,0.6739462614059448,2.15836501121521,1.84269118309021,-18.42870330810547,0.3945257067680359,0.44498786330223083,0.125,0.7781016230583191,5.05600019096164e-06,9.258220339775131e-07,1.139958143234253,,1.0,48,89
2,0.07585635781288147,0.09354685992002487,0.9999999403953552,,,,,,,,,,,,,59.014381408691406,0.7181796431541443,12.159881591796875,0.0002663085178937763,3.4166667461395264,4.660271644592285,0.7331475500516593,1.6875,0.3621033547126203,0.7117214202880859,2.938720226287842,2.3592443466186523,-19.802831649780273,0.3139372766017914,0.3193853497505188,0.0416666679084301,0.5061985850334167,8.173885362339206e-06,1.7539504063640937e-06,0.5182667374610901,,1.0,48,148
3,0.07242850214242935,0.096335768699646,1.0,,,,,,,,,,,,,59.00021743774414,0.8026280403137207,12.164709091186523,0.00028448886587284505,2.625,4.697555065155029,0.5588013249452684,1.7083333730697632,0.36366436278842024,0.6955991983413696,2.2857675552368164,1.948760986328125,-15.649587631225586,0.37563785910606384,0.3839718699455261,0.0625,0.44878554344177246,6.503195891127689e-06,1.3843788496536296e-06,0.5239471793174744,,1.0,48,266
4,0.07207101583480835,0.0840679183602333,1.0,,,,,,,,,,,,,79.95405578613281,1.1264368295669556,12.190664291381836,0.00025104504311457276,3.0833334922790527,4.73239803314209,0.6515372257722988,2.1666667461395264,0.4578369626534968,0.7166470885276794,1.905583143234253,1.7411155700683594,-13.002849578857422,0.37009239196777344,0.3998250663280487,0.1041666716337204,0.275158166885376,7.46170826460002e-06,1.5767287951217638e-06,0.415488064289093,,1.0,48,293
5,0.071616031229496,0.07665335386991501,1.0,,,,,,,,,,,,,62.19631576538086,0.813170850276947,12.164093017578125,0.0002726868260651827,2.9583334922790527,6.81967306137085,0.4337940340128924,2.125,0.3115985147324438,0.7205395102500916,1.8917534351348877,1.7122502326965332,-11.84017276763916,0.3051844537258148,0.3146460950374603,0.0625,0.8309069871902466,6.009467142575886e-06,8.811957816282679e-07,0.9898416996002197,,1.0,48,297
6,0.07160760462284088,0.0794392079114914,0.9999998807907104,,,,,,,,,,,,,65.38983917236328,0.8528923392295837,12.162839889526367,0.00028200430097058415,2.9375,4.427008628845215,0.6635406071324602,1.8125,0.40941867248598607,0.6978578567504883,1.885095477104187,1.7304600477218628,-13.905255317687988,0.3664417266845703,0.3664417266845703,0.0,0.2886894643306732,4.976447144144913e-06,1.124110556387579e-06,0.32963716983795166,,1.0,48,385
7,0.07429621368646622,0.08552916347980499,1.0,,,,,,,,,,,,,61.07350540161133,0.824284017086029,12.164284706115723,0.0002508808101993054,3.6875,7.037165641784668,0.5240035807690313,1.75,0.24867966544970976,0.6994224786758423,2.6120872497558594,2.0786051750183105,-17.102083206176758,0.2442268431186676,0.38933560252189636,0.2291666716337204,0.9107357263565063,7.208719580376055e-06,1.0243782706106797e-06,1.6328632831573486,,1.0,48,454
8,0.07256040722131729,0.08232681453227997,1.0,,,,,,,,,,,,,67.19279479980469,0.8469969034194946,12.16719913482666,0.000282653869362548,2.875,4.751092910766602,0.6051239257884502,2.2708334922790527,0.47796023570775537,0.7167395949363708,2.3750109672546387,2.1410982608795166,-18.586612701416016,0.3118536174297333,0.3327811360359192,0.0416666679084301,0.37339115142822266,6.3791521824896336e-06,1.3426704736939434e-06,0.3581344187259674,,1.0,48,496
9,0.07235116511583328,0.08058551698923111,1.0,,,,,,,,,,,,,57.54075241088867,0.688182532787323,12.163962364196777,0.000238261854974553,3.2708334922790527,5.744004726409912,0.5694343306414772,2.0833334922790527,0.36269703593266306,0.7237375974655151,2.035263776779175,1.8095512390136719,-12.696969032287598,0.38659894466400146,0.4246889352798462,0.0416666679084301,0.7866989970207214,4.894227004115237e-06,8.520583162287226e-07,1.134149193763733,,1.0,48,504
