feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,stab_signed,stab_abs,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx
51,0.22135011851787567,0.5166062712669373,1.0,1.2871838808059692,0.7002071142196655,0.00390625,0.03084612265229225,7.896607398986816,0.6346389651298523,23.204587936401367,937.774658203125,0.02555946074426174,0.2378837615251541,5.754607200622559,61.375,64.56526184082031,0.989445686340332,12.173476219177246,0.00026550510665401816,3.8958334922790527,6.053241729736328,0.6435945663139419,0.21415337920188904,0.23245462775230408,4.165771315456368e-06,6.881884937966849e-07,1.098276972770691,1.3161011934280396,1.0,48
52,0.13426156342029572,0.20348383486270905,1.0,0.8653971552848816,0.8956159353256226,0.01220703125,0.05228826031088829,4.283454418182373,0.48638418316841125,7.418150424957275,107.17353820800781,0.06591325998306274,0.41822245717048645,7.318673133850098,100.4800033569336,56.75697708129883,0.6307677030563354,12.16676139831543,0.0002444064011797309,4.3125,4.546266555786133,0.9485805413291444,0.2604495882987976,0.3607684075832367,5.522060746443458e-06,1.2146363761423198e-06,0.4642220437526703,1.573987603187561,1.0,48
114,0.16147392988204956,0.21270546317100525,1.0,0.8688831925392151,0.8455823659896851,0.00927734375,0.047094374895095825,5.076277732849121,0.5236478447914124,8.97315502166748,174.6969451904297,0.05265381559729576,0.3767508566379547,6.997736930847168,89.89473724365234,70.97345733642578,0.7048711180686951,12.18577766418457,0.00021595260477624834,2.8125,3.523088216781616,0.79830529891931,0.3063436448574066,0.3635415732860565,3.1610568385076476e-06,8.972403286633873e-07,0.3374549150466919,1.806227684020996,1.0,48
182,0.1524438112974167,0.22062186896800995,1.0,0.8962032198905945,0.8735307455062866,0.00732421875,0.039909105747938156,5.448923110961914,0.5032153725624084,12.323784828186035,265.9327087402344,0.0433073565363884,0.34556829929351807,6.825527667999268,92.0,54.8726921081543,0.6794635653495789,12.161100387573242,0.0002641969476826489,3.5625,4.573481559753418,0.7789470550314417,0.2228541374206543,0.226596400141716,6.75253022563993e-06,1.476452921620497e-06,0.8369794487953186,1.7027883529663086,1.0,48
234,0.13852079212665558,0.2985365092754364,0.9999999403953552,0.8363608121871948,0.8626582622528076,0.00732421875,0.033636339008808136,4.59248161315918,0.40541914105415344,7.158201217651367,174.38861083984375,0.0433073565363884,0.35077813267707825,6.864378929138184,94.0,72.21551513671875,0.7987872958183289,12.170303344726562,0.0002485460718162358,3.8958334922790527,4.369857311248779,0.8915241862326378,0.3085952699184418,0.36562380194664,5.3591302275890484e-06,1.2263856308373848e-06,0.5069104433059692,1.4351505041122437,1.0,48
346,0.1218925341963768,0.32484233379364014,1.0000001192092896,0.9527363181114197,0.8847026228904724,0.00244140625,0.008593028411269188,3.5197043418884277,0.17424605786800385,3.8925962448120117,414.01312255859375,0.01712392456829548,0.21070221066474915,5.732632637023926,84.4000015258789,61.26696014404297,1.3732945919036865,12.164556503295898,0.0003433972306083888,3.2083334922790527,4.302285194396973,0.7457277562631386,0.22820870578289032,0.22991585731506348,2.969752813442028e-06,6.902733483142669e-07,0.6922769546508789,0.36663588881492615,1.0,48
399,0.1698211431503296,0.2472103238105774,1.0,0.9195276498794556,0.843171238899231,0.00244140625,0.011904364451766014,4.876027584075928,0.24514853954315186,6.674596309661865,475.367919921875,0.01712392456829548,0.20878875255584717,6.1067914962768555,106.0,63.42211151123047,0.7359859943389893,12.155963897705078,0.00026752622216008604,2.7291667461395264,4.086048126220703,0.6679232978062287,0.2547292113304138,0.2547292113304138,6.867894626338966e-06,1.6808158879624137e-06,0.7535682916641235,0.5079194903373718,1.0,48
579,0.14041733741760254,0.17687954008579254,1.0,0.9374497532844543,0.8434325456619263,0.00830078125,0.04514884948730469,5.439108371734619,0.5557008385658264,15.505977630615234,352.1959228515625,0.04803864285349846,0.3582703769207001,6.847535133361816,83.82353210449219,55.211029052734375,0.8398122787475586,12.158336639404297,0.0003125891671516001,3.25,5.454801082611084,0.5958054097338867,0.2078176736831665,0.2078176736831665,1.0158913937630132e-05,1.8623802710956966e-06,0.6051231026649475,1.8589972257614136,1.0,48
641,0.15545490384101868,0.23469829559326172,1.0,0.9013635516166687,0.8608478903770447,0.017578125,0.09465638548135757,5.384896755218506,0.8326661586761475,20.48108673095703,238.94969177246094,0.08845767378807068,0.45251941680908203,7.46768856048584,104.11111450195312,54.63536834716797,0.8117380142211914,12.162849426269531,0.00032292469404637814,3.3958334922790527,3.9160258769989014,0.8671631879536668,0.18981866538524628,0.3079327940940857,5.255390533420723e-06,1.342021397475557e-06,0.7721351981163025,2.4799439907073975,1.0,48
655,0.13780610263347626,0.2620825469493866,1.0,0.860091507434845,0.8823469877243042,0.01025390625,0.044476769864559174,4.337543964385986,0.4553747773170471,7.6212310791015625,133.06378173828125,0.057165034115314484,0.39422857761383057,7.298863410949707,113.33333587646484,54.27130126953125,0.6573924422264099,12.161027908325195,0.0002678322489373386,2.0625,3.576188087463379,0.576731408916368,0.19847333431243896,0.23995725810527802,4.271246780263027e-06,1.194357417411198e-06,0.670856773853302,1.5618711709976196,1.0,48
