feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_reconstruction_norm_ratio,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx
126,0.3971406817436218,0.4564843773841858,0.9999999403953552,1.4469830989837646,0.5252593159675598,0.009765625,0.005864354781806469,0.6005099415779114,0.09392973780632019,3.054150104522705,642.8326416015625,0.05492175742983818,0.3156740665435791,6.554227352142334,73.30000305175781,169.51275634765625,8.603974342346191,10.203840255737305,0.0050710709765553474,43.75,67.63190460205078,0.6468840446082091,34.35416793823242,0.507958013829336,3.581115245819092,0.8900458216667175,0.739273726940155,0.739273726940155,0.0,0.4001884162425995,0.047665178775787354,0.0007047735687646786,0.4585628807544708,0.2462475746870041,2.0,48
223,0.5500428080558777,0.7056220769882202,1.0,0.7507638335227966,0.6549824476242065,0.00927734375,0.0028523108921945095,0.3074491024017334,0.03808970749378204,0.913124144077301,342.4960632324219,0.05265381559729576,0.3451736867427826,6.69476842880249,71.2631607055664,77.00659942626953,2.29451322555542,10.528626441955566,0.0012210661079734564,41.04166793823242,78.48197174072266,0.5229438942817402,35.10416793823242,0.44728957689457116,2.6431632041931152,0.6675008535385132,0.8929991722106934,0.8929991722106934,0.0,0.35167649388313293,0.023769289255142212,0.00030286304898963435,0.29383721947669983,0.11900054663419724,2.0,48
284,0.3058057725429535,0.42315077781677246,1.0,0.7764350771903992,0.7006055116653442,0.02490234375,0.003333969507366419,0.13388176262378693,0.02642257697880268,0.3880637288093567,106.62073516845703,0.11654888093471527,0.476826012134552,7.183524131774902,79.66666412353516,97.29232025146484,3.1106767654418945,10.463662147521973,0.001798134413547814,45.29166793823242,79.98914337158203,0.5662226900239702,36.5625,0.4570932810916779,3.320463180541992,0.8268198370933533,0.8598766326904297,0.8598766326904297,0.0,0.38740792870521545,0.03375542536377907,0.00042200008572102616,0.30053234100341797,0.08745425194501877,2.0,48
486,0.39887735247612,0.5394905805587769,1.0,1.1521222591400146,0.664055585861206,0.02001953125,0.003707065712660551,0.1851724535226822,0.03404298797249794,0.7285072207450867,176.24208068847656,0.09811511635780334,0.4424766004085541,7.103082656860352,69.65853881835938,81.36784362792969,1.901536226272583,10.50585651397705,0.0012961442116647959,46.5,62.410667419433594,0.7450649370570592,35.0,0.5608015655268188,3.2865939140319824,0.8079766631126404,0.8217743635177612,0.8217743635177612,0.0,0.4904658794403076,0.01803377829492092,0.00028895346000443477,0.463241845369339,0.11446162313222885,2.0,48
506,0.5356070399284363,0.667957067489624,1.0,1.887632966041565,0.4374640882015228,0.00537109375,0.001227706205099821,0.22857657074928284,0.02719808928668499,1.0275568962097168,1081.100830078125,0.03342986851930618,0.23172138631343842,6.064304828643799,64.54545593261719,99.90543365478516,4.452057361602783,10.374926567077637,0.0031037195585668087,39.125,61.697357177734375,0.6341438561290299,31.6875,0.513595742903224,2.512423038482666,0.7800579071044922,0.7718362808227539,0.7718362808227539,0.0,0.34527388215065,0.029441414400935173,0.00047719085132528523,0.2823054790496826,0.052382126450538635,2.0,48
507,0.38641127943992615,0.5125128030776978,0.9999999403953552,1.1743422746658325,0.5903093814849854,0.013671875,0.005005348939448595,0.3661055266857147,0.06584049761295319,1.9712475538253784,492.6988525390625,0.07226333767175674,0.36838147044181824,6.630892753601074,56.75,82.10780334472656,1.7331788539886475,10.52508544921875,0.0011053907219320536,33.4375,89.60470581054688,0.3731667850901263,26.5,0.295743396034044,3.325218677520752,0.7505661249160767,0.7871185541152954,0.7871185541152954,0.0,0.4173923134803772,0.031219813972711563,0.00034841712482418176,0.36858081817626953,0.19378481805324554,2.0,48
516,0.4385647475719452,0.5362486243247986,1.0,0.5958173274993896,0.7502241134643555,0.0302734375,0.003907819278538227,0.12908409535884857,0.028762327507138252,0.4344422221183777,103.82534790039062,0.13569138944149017,0.49854764342308044,7.308859825134277,70.48387145996094,76.70452880859375,2.3837056159973145,10.4574613571167,0.001972125843167305,33.4375,46.26036834716797,0.7228109327153447,25.791667938232422,0.557532697083162,2.6954801082611084,0.8410955667495728,0.79879230260849,0.79879230260849,0.0,0.49911630153656006,0.016292624175548553,0.000352194000051105,0.4388850927352905,0.09231986850500107,2.0,48
668,0.4167118966579437,0.49322062730789185,0.9999999403953552,0.6549992561340332,0.7109930515289307,0.05126953125,0.006767600774765015,0.13200044631958008,0.039861228317022324,0.543915331363678,73.8601303100586,0.20223647356033325,0.5603039860725403,7.397939682006836,79.30476379394531,69.789794921875,1.659989356994629,10.529838562011719,0.0011265040375292301,36.22916793823242,39.23344421386719,0.9234256297129491,27.52083396911621,0.7014636240469106,2.1495771408081055,0.7734212875366211,0.775858998298645,0.775858998298645,0.0,0.15852490067481995,0.01882804185152054,0.00047989775621245937,0.1826339066028595,0.11862514168024063,2.0,48
835,0.3513922691345215,0.4526571035385132,0.9999999403953552,1.6628966331481934,0.5084258913993835,0.0029296875,0.0004365040804259479,0.1489933878183365,0.009438314475119114,0.26083528995513916,551.720947265625,0.020013848319649696,0.2030934989452362,5.655332565307617,58.5,97.76055145263672,3.0646886825561523,10.505596160888672,0.0015609179390594363,45.895835876464844,68.73753356933594,0.6676968678763036,36.1875,0.5264590990631469,3.2496285438537598,0.718917727470398,0.7723717093467712,0.7723717093467712,0.0,0.32097986340522766,0.026512593030929565,0.00038570765708852633,0.36611419916152954,0.01862417347729206,2.0,48
849,0.41135159134864807,0.5396222472190857,1.0,1.0726418495178223,0.6123852729797363,0.00390625,0.0006402861326932907,0.16391324996948242,0.012274607084691525,0.30583155155181885,463.8414306640625,0.02555946074426174,0.23645325005054474,6.067176818847656,76.875,102.89286041259766,3.0132973194122314,10.51217269897461,0.0014800253557041287,44.1875,83.776611328125,0.5274443462705586,35.79166793823242,0.42722744888518044,3.295086622238159,0.5646669864654541,0.825581967830658,0.825581967830658,0.0,0.20168863236904144,0.0361223928630352,0.0004311751488400994,0.230684295296669,0.02731887437403202,2.0,48
