feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_reconstruction_norm_ratio,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx
126,0.3971406817436218,0.4564843773841858,0.9999999403953552,1.4469830989837646,0.5252593159675598,0.009765625,0.005864354781806469,0.6005099415779114,0.09392973780632019,3.054150104522705,642.8326416015625,0.05492175742983818,0.3156740665435791,6.554227352142334,73.30000305175781,169.51275634765625,8.603974342346191,10.203840255737305,0.0050710709765553474,22.604167938232422,32.707969665527344,0.6910905251066453,17.25,0.5273943987084818,1.5878427028656006,0.7486456632614136,0.766383171081543,0.766383171081543,0.0,0.18980860710144043,0.008635811507701874,0.0002640277459399546,0.24575510621070862,0.07251597940921783,1.0,48
223,0.5500428080558777,0.7056220769882202,1.0,0.7507638335227966,0.6549824476242065,0.00927734375,0.0028523108921945095,0.3074491024017334,0.03808970749378204,0.913124144077301,342.4960632324219,0.05265381559729576,0.3451736867427826,6.69476842880249,71.2631607055664,77.00659942626953,2.29451322555542,10.528626441955566,0.0012210661079734564,15.895833969116211,36.624595642089844,0.43402073623191456,12.770833969116211,0.34869556214165304,1.301725149154663,0.5774737596511841,0.8934164047241211,0.8934164047241211,0.0,0.23591329157352448,0.004601357504725456,0.00012563572164551385,0.19720984995365143,0.07824256271123886,1.0,48
284,0.3058057725429535,0.42315077781677246,1.0,0.7764350771903992,0.7006055116653442,0.02490234375,0.003333969507366419,0.13388176262378693,0.02642257697880268,0.3880637288093567,106.62073516845703,0.11654888093471527,0.476826012134552,7.183524131774902,79.66666412353516,97.29232025146484,3.1106767654418945,10.463662147521973,0.001798134413547814,22.8125,38.59312057495117,0.591102757544188,17.20833396911621,0.445891229014177,1.6924645900726318,0.7607292532920837,0.8593297004699707,0.8593297004699707,0.0,0.22246794402599335,0.008639002218842506,0.0002238482425857825,0.20402036607265472,0.06881579011678696,1.0,48
486,0.39887735247612,0.5394905805587769,1.0,1.1521222591400146,0.664055585861206,0.02001953125,0.003707065712660551,0.1851724535226822,0.03404298797249794,0.7285072207450867,176.24208068847656,0.09811511635780334,0.4424766004085541,7.103082656860352,69.65853881835938,81.36784362792969,1.901536226272583,10.50585651397705,0.0012961442116647959,22.729167938232422,30.38258934020996,0.7480984479710038,15.333333969116211,0.5046750226708459,1.5401175022125244,0.8036538362503052,0.8048290014266968,0.8048290014266968,0.0,0.15781283378601074,0.004243507049977779,0.0001396690387729726,0.20689280331134796,0.06023385003209114,1.0,48
506,0.5356070399284363,0.667957067489624,1.0,1.887632966041565,0.4374640882015228,0.00537109375,0.001227706205099821,0.22857657074928284,0.02719808928668499,1.0275568962097168,1081.100830078125,0.03342986851930618,0.23172138631343842,6.064304828643799,64.54545593261719,99.90543365478516,4.452057361602783,10.374926567077637,0.0031037195585668087,16.354167938232422,28.366933822631836,0.5765222295340021,12.645833969116211,0.44579488370960646,1.2506093978881836,0.7632490992546082,0.7538764476776123,0.7538764476776123,0.0,0.23968972265720367,0.005406624637544155,0.00019059601821768473,0.1671556532382965,0.019622357562184334,1.0,48
507,0.38641127943992615,0.5125128030776978,0.9999999403953552,1.1743422746658325,0.5903093814849854,0.013671875,0.005005348939448595,0.3661055266857147,0.06584049761295319,1.9712475538253784,492.6988525390625,0.07226333767175674,0.36838147044181824,6.630892753601074,56.75,82.10780334472656,1.7331788539886475,10.52508544921875,0.0011053907219320536,20.95833396911621,41.32887649536133,0.507111147006317,15.833333969116211,0.3831058404663445,1.635454535484314,0.7577916979789734,0.8139364123344421,0.8139364123344421,0.0,0.3848366141319275,0.007396250031888485,0.0001789608297464611,0.2496705800294876,0.16512158513069153,1.0,48
516,0.4385647475719452,0.5362486243247986,1.0,0.5958173274993896,0.7502241134643555,0.0302734375,0.003907819278538227,0.12908409535884857,0.028762327507138252,0.4344422221183777,103.82534790039062,0.13569138944149017,0.49854764342308044,7.308859825134277,70.48387145996094,76.70452880859375,2.3837056159973145,10.4574613571167,0.001972125843167305,13.75,21.734161376953125,0.6326446075004317,9.479166984558105,0.43614137282740467,1.2910411357879639,0.8376123905181885,0.7869911193847656,0.7869911193847656,0.0,0.18345493078231812,0.003995887003839016,0.00018385282655707712,0.2301730066537857,0.06674710661172867,1.0,48
668,0.4167118966579437,0.49322062730789185,0.9999999403953552,0.6549992561340332,0.7109930515289307,0.05126953125,0.006767600774765015,0.13200044631958008,0.039861228317022324,0.543915331363678,73.8601303100586,0.20223647356033325,0.5603039860725403,7.397939682006836,79.30476379394531,69.789794921875,1.659989356994629,10.529838562011719,0.0011265040375292301,14.979166984558105,20.84412384033203,0.7186278057122318,11.208333969116211,0.5377215204436463,1.1376888751983643,0.7536753416061401,0.7579293251037598,0.7579293251037598,0.0,0.10698837041854858,0.004523370414972305,0.0002170093810347539,0.1965123414993286,0.09358581155538559,1.0,48
835,0.3513922691345215,0.4526571035385132,0.9999999403953552,1.6628966331481934,0.5084258913993835,0.0029296875,0.0004365040804259479,0.1489933878183365,0.009438314475119114,0.26083528995513916,551.720947265625,0.020013848319649696,0.2030934989452362,5.655332565307617,58.5,97.76055145263672,3.0646886825561523,10.505596160888672,0.0015609179390594363,24.52083396911621,34.082969665527344,0.7194453477075664,18.6875,0.5482943586755065,1.5649042129516602,0.6556810140609741,0.7756404876708984,0.7756404876708984,0.0,0.1707208752632141,0.0069676353596150875,0.00020443158052093304,0.24798265099525452,0.004137543495744467,1.0,48
849,0.41135159134864807,0.5396222472190857,1.0,1.0726418495178223,0.6123852729797363,0.00390625,0.0006402861326932907,0.16391324996948242,0.012274607084691525,0.30583155155181885,463.8414306640625,0.02555946074426174,0.23645325005054474,6.067176818847656,76.875,102.89286041259766,3.0132973194122314,10.51217269897461,0.0014800253557041287,24.58333396911621,41.66340637207031,0.5900461845024644,19.125,0.45903591810559136,1.715273380279541,0.6057264804840088,0.8146170377731323,0.8146170377731323,0.0,0.1604752242565155,0.006798502989113331,0.00016317683980921543,0.2053874135017395,0.008915655314922333,1.0,48
