feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_reconstruction_norm_ratio,resid_error_delta_norm,resid_change_explained_energy,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx,matched_feature
0,0.16557911038398743,0.18453119695186615,0.9999999403953552,,,,,,,,,,,,,85.00776672363281,1.8138612508773804,10.524813652038574,0.0010997822973877192,19.9375,35.815452575683594,0.5566731273966801,16.33333396911621,0.4560415348665756,1.4432010650634766,0.6465535163879395,1.3599656820297241,0.10629284381866455,0.827470064163208,0.827470064163208,0.0,0.34654542803764343,0.007423966191709042,0.00020728388602512317,0.3509807884693146,,1.0,48,126
1,0.16011694073677063,0.20336437225341797,1.0,,,,,,,,,,,,,78.87127685546875,1.6858893632888794,10.52812385559082,0.0011225121561437845,24.8125,35.77566146850586,0.6935581055547341,20.75,0.5800032520004325,1.5181020498275757,0.7318078875541687,1.412582278251648,0.1350223422050476,0.8407801389694214,0.8407801389694214,0.0,0.33236315846443176,0.005742602050304413,0.00016051700549980292,0.344593346118927,,1.0,48,223
2,0.16156457364559174,0.18775279819965363,1.0,,,,,,,,,,,,,87.9001693725586,2.049931287765503,10.512397766113281,0.0012677251361310482,17.604167938232422,33.3807487487793,0.5273748670362717,15.270833969116211,0.45747427894648135,1.3710412979125977,0.554672122001648,1.3332061767578125,0.06137645244598389,0.8468412160873413,0.8468412160873413,0.0,0.3127168118953705,0.00574011355638504,0.00017195880169929869,0.31188860535621643,,1.0,48,284
3,0.1609516590833664,0.1971188187599182,1.0,,,,,,,,,,,,,80.43025970458984,1.8767950534820557,10.537038803100586,0.0010472731664776802,21.8125,33.336097717285156,0.6543207359914461,17.5,0.5249564644057447,1.527561902999878,0.5969252586364746,1.3512033224105835,0.24152249097824097,0.8446551561355591,0.8446551561355591,0.0,0.24427177011966705,0.007423562463372946,0.00022268840594671216,0.29356807470321655,,1.0,48,486
4,0.15188030898571014,0.16797128319740295,1.0,,,,,,,,,,,,,77.99095916748047,1.6558802127838135,10.52949333190918,0.001078843604773283,21.39583396911621,31.264217376708984,0.6843553351894229,16.916667938232422,0.5410872029511931,1.446323275566101,0.5809750556945801,1.2833447456359863,0.22027474641799927,0.7978240847587585,0.7978240847587585,0.0,0.2533588111400604,0.006858309730887413,0.00021936610937854504,0.3099576532840729,,1.0,48,506
5,0.1595873236656189,0.19143293797969818,0.9999999403953552,,,,,,,,,,,,,88.14921569824219,2.007002353668213,10.520288467407227,0.0011497966479510069,18.291667938232422,39.636749267578125,0.4614825451536139,14.8125,0.3737062264179972,1.4814409017562866,0.5562335252761841,1.3348973989486694,0.19004809856414795,0.8072187304496765,0.8072187304496765,0.0,0.2719787061214447,0.008972978219389915,0.0002263802754497273,0.3217045068740845,,1.0,48,507
6,0.1666230410337448,0.20189908146858215,1.0,,,,,,,,,,,,,89.63189697265625,1.84807288646698,10.514392852783203,0.001193464151583612,20.416667938232422,36.912742614746094,0.5531062307070406,16.08333396911621,0.4357122452974826,1.5228402614593506,0.6495177149772644,1.3662408590316772,0.19229823350906372,0.8527940511703491,0.8527940511703491,0.0,0.4727136790752411,0.006356281694024801,0.00017219749176165485,0.3964281380176544,,1.0,48,516
7,0.15800808370113373,0.18566061556339264,0.9999999403953552,,,,,,,,,,,,,82.57311248779297,1.7337828874588013,10.535045623779297,0.0011027558939531446,20.875,29.70502281188965,0.7027431059442647,15.354166984558105,0.5168879039959401,1.531603217124939,0.6109435558319092,1.2612718343734741,0.32777220010757446,0.8486781120300293,0.8486781120300293,0.0,0.1385970264673233,0.00463750259950757,0.00015611846613664918,0.18865731358528137,,1.0,48,668
8,0.1590753048658371,0.18235187232494354,0.9999999403953552,,,,,,,,,,,,,88.26416778564453,1.6586246490478516,10.533555030822754,0.0010139986407011747,24.64583396911621,33.835960388183594,0.7283917370478795,18.354167938232422,0.5424456029100247,1.7527143955230713,0.7067055106163025,1.3381131887435913,0.4255940318107605,0.8245081901550293,0.8245081901550293,0.0,0.26624077558517456,0.0072402795776724815,0.00021398179606751044,0.3157212436199188,,1.0,48,835
9,0.15814529359340668,0.2082391083240509,1.0,,,,,,,,,,,,,84.75016784667969,2.7090208530426025,10.530433654785156,0.0015036200638860464,22.25,33.89804458618164,0.656380043895107,17.729167938232422,0.5230144732368863,1.4755840301513672,0.5743376016616821,1.2913531064987183,0.23778289556503296,0.8420931100845337,0.8420931100845337,0.0,0.2776957154273987,0.006166763603687286,0.00018192092426422513,0.27761366963386536,,1.0,48,849
